"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Ajaponicus"
"56","112","684260.6667053123","684260.6667053123","0.013409957586783126"
"56","99","709957.0751108823","709957.0751108823","0.011405272854964205"
"56","95","520569.9976948338","520569.9976948338","0.037617439832623285"
"56","94","663941.7254548768","663941.7254548768","0.015241684127517785"
"56","91","617313.9561843706","617313.9561843706","0.02044731106960951"
"56","90","673752.7976936343","673752.7976936343","0.014327935582615043"
"56","87","696161.271545609","696161.271545609","0.0124411285284778"
"56","117","820154.4525880457","820154.4525880457","0.0056955482267771465"
"56","119","794287.9788212818","794287.9788212818","0.006703824946561736"
"56","109","689670.7200541415","689670.7200541415","0.012960508933417323"
"56","69","123156.53657033372","123156.53657033372","0.4602198520364212"
"56","61","103809.18841798135","103809.18841798135","0.5206491954483533"
"56","60","109175.45740687306","109175.45740687306","0.5026046213737578"
"56","59","81929.66983944198","81929.66983944198","0.5967443138704945"
"56","58","54899.99999999977","54899.99999999977","0.7085916559761756"
"56","64","88060.0","88060.0","0.5741320684454078"
"56","86","636555.9598338541","636555.9598338541","0.018112476621622072"
"56","84","536646.4173923081","536646.4173923081","0.033993346482415226"
"56","82","654997.4110635853","654997.4110635853","0.016125392434538525"
"56","79","530079.6909899486","530079.6909899486","0.035429470592711336"
"56","77","556725.9197307051","556725.9197307051","0.02995322752607282"
"56","72","508882.9249444312","508882.9249444312","0.04049230531697436"
"56","88","216845.05159214485","216845.05159214485","0.2550198318687785"
"56","71","449274.9693673125","449274.9693673125","0.058951898974478195"
"56","74","294468.80310144875","294468.80310144875","0.15636731434174206"
"56","66","469565.36339470313","469565.36339470313","0.05187646446219954"
"56","62","129085.24470287058","129085.24470287058","0.4436009349368605"
"56","73","470032.687054847","470032.687054847","0.0517239252058599"
"56","65","571738.4626732748","571738.4626732748","0.0272495763763682"
"51","116","1032483.5212728562","1032483.5212728562","0.0014944042415069535"
"51","107","1088777.0416848424","1088777.0416848424","0.0014652169397506353"
"51","108","901627.1300820523","901627.1300820523","0.0034085874835296124"
"51","111","1085644.1496180955","1085644.1496180955","0.0010690223497596147"
"51","101","1002352.3316678612","1002352.3316678612","0.0018068670554843838"
"51","100","844313.5505249209","844313.5505249209","0.004891261349200816"
"51","102","1021290.8294898169","1021290.8294898169","0.0016036087542068732"
"51","97","905459.7057848563","905459.7057848563","0.003327254943823077"
"51","103","857989.4621730493","857989.4621730493","0.004487400913547136"
"51","92","763859.017947683","763859.017947683","0.008120741101425875"
"51","93","966420.1641108274","966420.1641108274","0.002265997750722052"
"51","96","721968.9979493574","721968.9979493574","0.01057385657411114"
"51","85","818962.4386991133","818962.4386991133","0.005738490170688439"
"51","83","853846.0423284745","853846.0423284745","0.005294500083506555"
"51","81","717985.7460980678","717985.7460980678","0.010842617243338258"
"51","80","789588.9447680983","789588.9447680983","0.006905294615390832"
"51","89","638246.0121301186","638246.0121301186","0.01792060962372495"
"51","70","806061.3977235229","806061.3977235229","0.006224480338272798"
"51","67","780713.4645310014","780713.4645310014","0.007635317574685781"
"51","105","1143935.069180064","1143935.069180064","7.403988527398838E-4"
"51","68","705204.1308018548","705204.1308018548","0.011752026434297898"
"51","57","929115.5041220649","929115.5041220649","0.0028664789839674774"
"51","118","907172.3445961063","907172.3445961063","0.003291540547862768"
"51","115","944297.0655995907","944297.0655995907","0.0026049677404495998"
"51","113","868141.2675941617","868141.2675941617","0.0042093309494877105"
"51","112","713935.4662712859","713935.4662712859","0.011122906073057838"
"51","99","723285.4778025056","723285.4778025056","0.010486503078178494"
"51","95","551748.7954676468","551748.7954676468","0.030907523240595938"
"51","94","679743.1027233737","679743.1027233737","0.013797180119180828"
"51","91","631496.9023676988","631496.9023676988","0.018699183279162864"
"51","90","679655.2794615806","679655.2794615806","0.013804817647762367"
"51","87","697868.9900690524","697868.9900690524","0.012307968390956948"
"51","117","880583.7693825595","880583.7693825595","0.003891907145702722"
"51","119","857898.5537346457","857898.5537346457","0.004489972234230062"
"51","109","756832.1034417065","756832.1034417065","0.008488398782234164"
"51","69","181779.99999999977","181779.99999999977","0.31807845189205625"
"51","61","172290.02321666776","172290.02321666776","0.33767963068458223"
"51","60","164738.68671323056","164738.68671323056","0.3541360394299238"
"51","59","133065.16448717876","133065.16448717876","0.4323635135002493"
"51","58","121766.70029199257","121766.70029199257","0.46426807938208664"
"51","56","36347.397430902805","36347.397430902805","0.7952989185530471"
"51","64","65870.77728401267","65870.77728401267","0.6602913959885254"
"51","86","643266.8998945921","643266.8998945921","0.017362507069650174"
"51","84","547750.2620720498","547750.2620720498","0.03169616625651403"
"51","82","654776.3871735138","654776.3871735138","0.016147866661011055"
"51","79","537075.2577618888","537075.2577618888","0.033901611348246166"
"51","77","556616.1352314533","556616.1352314533","0.029973956015550186"
"51","72","510380.11873504583","510380.11873504583","0.04011208416864216"
"51","88","214830.10310475563","214830.10310475563","0.25827842911802174"
"51","71","457477.0298058686","457477.0298058686","0.055982429614013354"
"51","74","323706.2989810358","323706.2989810358","0.13005695562818834"
"51","66","467738.24645842204","467738.24645842204","0.052477184287562345"
"51","55","6100.0","6100.0","0.9622912092263481"
"51","54","72958.1421090203","72958.1421090203","0.631451643816523"
"51","53","12325.343808592","12325.343808592","0.9252732706530298"
"51","62","80065.31895895998","80065.31895895998","0.6041457241168019"
"51","52","122575.8165381736","122575.8165381736","0.46190702568573294"
"51","73","456422.9158357408","456422.9158357408","0.056355521023440505"
"51","65","553434.6620875852","553434.6620875852","0.03058092380316593"
"60","116","880216.592663418","880216.592663418","0.003900922294400431"
"60","114","1115592.6118884068","1115592.6118884068","8.85174175814698E-4"
"60","107","969894.8186272561","969894.8186272561","0.0022169229978146127"
"60","108","786330.1500006207","786330.1500006207","0.0070485591513020545"
"60","111","984155.3390090399","984155.3390090399","0.0020263980114267875"
"60","101","901669.6655094917","901669.6655094917","0.0034076740018925984"
"60","100","724614.2439256897","724614.2439256897","0.010399066106915583"
"60","102","934113.0319720407","934113.0319720407","0.0027776168991992074"
"60","97","803265.1742108574","803265.1742108574","0.006335127301764758"
"60","103","755129.836849266","755129.836849266","0.008579940161283214"
"60","92","659929.8402103054","659929.8402103054","0.015631909348282548"
"60","93","891216.2977078005","891216.2977078005","0.0036396959628844402"
"60","96","627742.5106681875","627742.5106681875","0.019146837130695777"
"60","85","735629.970297567","735629.970297567","0.009701710299107961"
"60","83","777892.837092616","777892.837092616","0.007433446253399197"
