"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Cauriga"
"81","103","136923.3654275264","136923.3654275264","0.421978714262995"
"81","92","76236.73655135013","76236.73655135013","0.6185399822050379"
"81","93","233891.23711674171","233891.23711674171","0.2290470721064739"
"81","96","20106.687942075394","20106.687942075394","0.8809987808378607"
"81","85","77393.11145056764","77393.11145056764","0.6140492425145794"
"81","83","122411.78047884106","122411.78047884106","0.46479984668750557"
"81","89","32656.12959307946","32656.12959307946","0.8140143285412205"
"81","110","645490.6899406058","645490.6899406058","0.017272844115727153"
"81","105","401078.97339551424","401078.97339551424","0.07987166035106685"
"81","104","608644.4384860501","608644.4384860501","0.02159541334846103"
"81","106","537458.4724422897","537458.4724422897","0.03381984567811152"
"81","118","675939.9316507337","675939.9316507337","0.01413182432642962"
"81","115","387061.0464771668","387061.0464771668","0.08724783931915281"
"81","113","369583.0955279198","369583.0955279198","0.09740594766369226"
"81","112","313498.12327986874","313498.12327986874","0.1386978242181538"
"81","99","152848.16649211053","152848.16649211053","0.3856335674691916"
"81","95","280214.7171366984","280214.7171366984","0.17167746674867126"
"81","94","143113.51159132374","143113.51159132374","0.4058358101665401"
"81","91","172201.9152042159","172201.9152042159","0.3378671619179481"
"81","90","92206.52525716387","92206.52525716387","0.5613365788263356"
"81","87","55373.77086671992","55373.77086671992","0.7054433230004973"
"81","117","722386.2645427297","722386.2645427297","0.01054609085160242"
"81","119","747712.5453675354","747712.5453675354","0.009022808874809597"
"81","109","781094.2358000084","781094.2358000084","0.010065146743930189"
"81","86","112460.12849005642","112460.12849005642","0.4923087189594297"
"81","84","196592.4212679624","196592.4212679624","0.2897330504434703"
"81","82","64445.030840244","64445.030840244","0.6662502541272727"
"81","88","229704.16104198017","229704.16104198017","0.23517072014153598"
"77","116","500834.9769135527","500834.9769135527","0.04259874550823361"
"77","114","620350.4106551387","620350.4106551387","0.0216629763250597"
"77","107","475418.36607350304","475418.36607350304","0.05337895859451103"
"77","108","287553.75027983857","287553.75027983857","0.16333150423906354"
"77","111","467562.5720692361","467562.5720692361","0.05253530784043563"
"77","101","384421.66120030184","384421.66120030184","0.08871104968930225"
"77","100","236041.5776934221","236041.5776934221","0.2259644112847971"
"77","102","412181.5649686431","412181.5649686431","0.07447473338356975"
"77","97","286943.68297629396","286943.68297629396","0.16728684360744742"
"77","103","239435.57045685564","239435.57045685564","0.22118308978334575"
"77","92","145782.317514848","145782.317514848","0.3990679172817976"
"77","93","373287.9424787249","373287.9424787249","0.09515829615301404"
"77","96","105924.49433440785","105924.49433440785","0.5130068701378877"
"77","85","215616.90842788733","215616.90842788733","0.25700107284107343"
"77","83","261989.11504106413","261989.11504106413","0.1928828312855495"
"77","81","117027.69757625756","117027.69757625756","0.47834115944299593"
"77","80","204679.99999999988","204679.99999999988","0.278674508662356"
"77","89","63047.620890878985","63047.620890878985","0.6747136521401672"
"77","110","779064.4292354767","779064.4292354767","0.0073787701813058"
"77","105","532873.184162986","532873.184162986","0.03481127162901112"
"77","104","744743.7841298168","744743.7841298168","0.009160245393311896"
"77","106","673751.8763610232","673751.8763610232","0.01432801876552334"
"77","78","794689.5208192941","794689.5208192941","0.0066868840225108835"
"77","118","607442.7067633611","607442.7067633611","0.021759565738956578"
"77","115","401308.8597327493","401308.8597327493","0.0797560427032891"
"77","113","357531.3010073377","357531.3010073377","0.10509132183639415"
"77","112","249829.49085326132","249829.49085326132","0.20716078139250446"
"77","99","139899.3195122833","139899.3195122833","0.4141392956069443"
"77","95","197632.92159961595","197632.92159961595","0.28783961684123316"
"77","94","110031.90264645954","110031.90264645954","0.49989949542322454"
"77","91","86585.8025313617","86585.8025313617","0.5794902691236159"
"77","90","70069.22362920828","70069.22362920828","0.6467768950962738"
"77","87","79428.04101827012","79428.04101827012","0.6062256917975779"
"77","117","639954.7408996972","639954.7408996972","0.01772868853428933"
"77","119","655061.6570216872","655061.6570216872","0.016118865624501866"
"77","109","661817.4159841966","661817.4159841966","0.015447080841747361"
"77","86","43920.0","43920.0","0.7582404212625564"
"77","84","50261.65934387762","50261.65934387762","0.7285378459201437"
"77","82","36902.05956311924","36902.05956311924","0.7925241104670627"
"77","79","29995.3663088151","29995.3663088151","0.8277774493540346"
"77","88","110744.446813373","110744.446813373","0.4976599873048169"
"79","116","509969.92901542626","509969.92901542626","0.04103540990075986"
"79","114","670366.9135630123","670366.9135630123","0.0162296709209242"
"79","107","524286.1875922341","524286.1875922341","0.04074548906290968"
"79","108","337169.66426415014","337169.66426415014","0.12288188669026638"
"79","111","528360.9198265893","528360.9198265893","0.03766096540069208"
"79","101","445643.8026047256","445643.8026047256","0.06614071665673468"
"79","100","280264.64653965866","280264.64653965866","0.17100845680136667"
"79","102","480235.2591178616","480235.2591178616","0.04850323948986531"
"79","97","347260.11576338543","347260.11576338543","0.1121180028885425"
"79","103","299123.99168237887","299123.99168237887","0.15184707091279456"
"79","92","203905.861857868","203905.861857868","0.27668385098743437"
"79","93","445201.3751101851","445201.3751101851","0.06048472985463346"
"79","96","174590.80875005992","174590.80875005992","0.3328192601987795"
"79","85","286989.2297630696","286989.2297630696","0.16391354733323701"
"79","83","334706.4361496503","334706.4361496503","0.12198114622303935"
"79","81","190462.52754807178","190462.52754807178","0.30324348720992633"
"79","80","278470.690019614","278470.690019614","0.17295255989938943"
"79","89","136435.60275822436","136435.60275822436","0.4232776852905246"
"79","110","846013.6836363813","846013.6836363813","0.005038044869849973"
"79","105","599100.2991152647","599100.2991152647","0.02517620114246648"
"79","104","813388.6527976642","813388.6527976642","0.005943620432936497"
"79","106","742711.5190301004","742711.5190301004","0.009278305724134574"
"79","118","568057.6137153683","568057.6137153683","0.027888997287659492"
