"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Nplicata"
"4","11","154942.5135332455","154942.5135332455","0.3766853146943388"
"4","42","701544.9342700711","701544.9342700711","0.012026150924482337"
"4","41","643971.323895714","643971.323895714","0.01728560892940385"
"4","39","783694.0276026087","783694.0276026087","0.007166621316300709"
"4","34","783226.3294859275","783226.3294859275","0.007187773390972844"
"4","32","774759.0619670085","774759.0619670085","0.007581693237933019"
"4","45","527638.2413169077","527638.2413169077","0.03597874602927826"
"4","30","465938.8720637071","465938.8720637071","0.0530755811112094"
"4","28","414410.9353045593","414410.9353045593","0.07343582551807007"
"4","26","808708.5143610144","808708.5143610144","0.0061215148009909764"
"4","27","524294.2990344254","524294.2990344254","0.03674490904313581"
"4","29","312661.49315193854","312661.49315193854","0.13943095457570737"
"4","24","759042.2083784268","759042.2083784268","0.008371003450371887"
"4","25","406918.91723044764","406918.91723044764","0.07698585016281304"
"4","18","284921.97949614195","284921.97949614195","0.1660627254428624"
"4","19","314978.06606174965","314978.06606174965","0.1374103934320058"
"4","13","608629.6138868035","608629.6138868035","0.021597430774136995"
"4","15","374925.17133422755","374925.17133422755","0.09418162018996387"
"4","14","547554.9375176885","547554.9375176885","0.031735202107167695"
"4","12","546354.3909405321","546354.3909405321","0.03197619088742567"
"4","8","198860.67585120985","198860.67585120985","0.2856213391319827"
"4","118","1950953.1177350178","1950953.1177350178","4.5809002091618365E-6"
"4","115","1724241.458294049","1724241.458294049","1.9115171265721283E-5"
"4","113","1700488.5864068565","1700488.5864068565","2.2201441100676706E-5"
"4","112","1603109.3467695804","1603109.3467695804","4.100839102248332E-5"
"4","99","1475575.9111614663","1475575.9111614663","9.159786738323214E-5"
"4","95","1521600.2114878902","1521600.2114878902","6.853834137369778E-5"
"4","94","1452746.4464592547","1452746.4464592547","1.0576970784151184E-4"
"4","91","1440241.9499861794","1440241.9499861794","1.1444097890208057E-4"
"4","90","1401367.2334188467","1401367.2334188467","1.462067843663616E-4"
"4","87","1377204.5454470417","1377204.5454470417","1.7025191871570392E-4"
"4","117","1968529.2518019604","1968529.2518019604","4.10063717204835E-6"
"4","119","1971004.1160028018","1971004.1160028018","4.037183977287799E-6"
"4","109","1929175.4374602607","1929175.4374602607","5.254705996650581E-6"
