"Id","Area","Perim","Capacity","BC_d110000_p0.5_beta0_Clunulatus","BC_d110000_p0.5_beta1_Clunulatus","CCe_Clunulatus","comp_Clunulatus","BC_d110000_p0.5_beta0_Cvroliki","BC_d110000_p0.5_beta0_Daruanus","BC_d110000_p0.5_beta0_Pcoelestis","BC_d110000_p0.5_beta0_Cauriga","BC_d110000_p0.5_beta0_Ajaponicus","BC_d110000_p0.5_beta0_Cstriatus","BC_d110000_p0.5_beta0_Lkasmira","BC_d110000_p0.5_beta0_Nplicata"
"18","6.867013999999945E8","122639.99999999907","6.867013999999945E8","0.08725903494719925","5.7857599783327368E16","1047462.5891013549","1.0","0.06558272211695221","0.15030329441667242","0.05201936143340093","0.0010949711091082445","0.010998347005529917","0.01455505748522724","0.011469807559961284","0.0"
"19","1.8408823999999993E9","235219.99999999988","1.8408823999999993E9","0.0","0.0","1065998.9470965695","1.0","0.0","0.0","4.856567896751158E-4","0.0035464052897997062","0.002890607418907305","0.004949839363756875","0.004570448223024079","0.0"
"20","5807200.0","9640.0","5807200.0","0.0","0.0","1083295.2852120826","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","2903600.0","7260.0","2903600.0","0.09111324911214391","5.3625071146369608E16","1084169.2444590982","1.0","0.09207302169234088","0.10120549839131551","0.10030281870111987","0.05109723073967472","2.8207586819625134E-4","9.661040521033956E-4","9.661040521033956E-4","0.0"
"22","4355400.0","9700.0","4355400.0","0.14054002222592524","7.3446943152568848E16","1079573.1940064442","1.0","0.23899044890574878","0.28743972715974253","0.11911748996481415","0.010944176885226666","0.0032841740853170555","0.007020911682226223","0.005552228092724536","0.0"
"23","1.4518E7","21660.0","1.4518E7","0.01649136319818014","7.385842244237879E12","1079064.5930953126","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0029155668513313813","0.0"
"24","3.890824E8","91640.0","3.890824E8","0.0","0.0","1324377.080232234","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"25","2.1646337999999766E9","274379.99999999895","2.1646337999999766E9","0.031875261178529526","9.2212671041454368E16","1082568.1214195525","1.0","0.12196242970768027","0.3519516203420882","0.016919966129976215","0.0","0.0","0.0","0.0","0.0"
"26","3.179442E8","86880.0","3.179442E8","0.0","0.0","1298074.08965996","1.0","0.0","0.0","0.0","0.0","5.379157351297979E-4","0.0","5.379157351297979E-4","0.0"
"27","6.808942E8","120380.0","6.808942E8","0.13574217176576808","4.0903729660564352E16","1099880.0538381706","1.0","0.18212242658415603","0.3136788946924097","0.041682172643413","0.003888776600958762","0.002772670372697619","0.0018463439671283694","0.0018463439671283694","0.0"
"28","1.0481996E9","175720.0","1.0481996E9","0.16613332481070398","1.56515422117130304E17","973111.3526814987","1.0","0.33311118656631084","0.277895001652933","0.07499831619431456","0.028945192493453183","0.01055700171887304","0.0182737574528938","0.016898108465345063","0.0"
"29","1.9947732E9","293960.0","1.9947732E9","0.07015258858615517","5.6201891823093224E16","986483.4084857402","1.0","0.08145786522223411","0.6171530885564757","0.009767329609261115","0.039552204701092906","0.006798258745196899","0.0074971150084403235","0.007398147211257402","0.0"
"30","1.1933795999999928E9","182739.99999999942","1.1933795999999928E9","0.012663127820484853","3.857345479471729E15","975021.6634259211","1.0","0.03461735963237179","0.21857444473689722","0.013401309256667599","6.285638964477147E-4","0.005784002244926744","0.003207328646993503","0.0029643646949919717","0.0"
"31","2.787456E8","79800.0","2.787456E8","0.3273441659765512","4.5686435356148144E16","947058.203669102","1.0","1.1285422357664616","1.1399439276133982","0.1713007592346944","0.07281710239248701","0.01304667280959099","0.018298012547110908","0.013723513025805465","0.0"
