"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Clunulatus","BC_d110000_p0.5_beta1_Clunulatus"
"6","8","195054.57723416787","195054.57723416787","0.30723748501358583","8.242897696180869E13"
"6","16","414953.9020180432","414953.9020180432","0.10299703428923491","3.5366706871971994E14"
"2","11","515415.00143088534","515415.00143088534","0.09715203178570228","2.5506121618660956E16"
"2","16","414360.8330911593","414360.8330911593","0.08011362764227876","4.1015796082943344E16"
"2","3","47165.90399854539","47165.90399854539","0.7428892498793642","4.509518217744681E15"
"2","31","626497.0187478934","626497.0187478934","0.05734302390320389","1.7536036090694026E16"
"2","23","439555.11520172213","439555.11520172213","0.06267545641262391","4.7556905781058E14"
"2","22","436551.18657495274","436551.18657495274","0.06645218201785914","1.4136139146927902E15"
"2","21","437403.36132681835","437403.36132681835","0.06353105584057213","9.641223565697636E13"
"2","20","433700.40961474687","433700.40961474687","0.06503089112340633","1.9737665357574706E14"
"2","10","264379.686246882","264379.686246882","0.189011812718154","8.605107150492545E14"
"2","17","155496.78999902177","155496.78999902177","0.37537196705291503","8.351065443387232E17"
"2","9","232070.58172030307","232070.58172030307","0.23168996090817034","8.9131509268555312E16"
"2","33","193594.28607270413","193594.28607270413","0.295258796073285","7.3259960831810384E16"
"10","11","651506.6612092309","651506.6612092309","0.031093014485048115","1.243572915295555E14"
"10","40","576729.307734572","576729.307734572","0.028882347187360838","1.8801363351729756E14"
"10","35","537587.0389992667","537587.0389992667","0.03941027418137294","1.7054256545566388E14"
"10","44","626324.0784130837","626324.0784130837","0.01931873905160878","1.5098440292844628E14"
"10","37","552788.4850464948","552788.4850464948","0.034661440931835846","5.008011692166764E14"
"10","16","414183.3962147684","414183.3962147684","0.09320909985975324","7.71113713931682E14"
"10","31","383754.0175685452","383754.0175685452","0.10911426085849335","2.6454985751555378E14"
"10","23","181783.89505123888","181783.89505123888","0.31807064505939553","4.022429343320875E13"
"10","22","179339.99999999953","179339.99999999953","0.36137447940777334","1.4032938600143812E14"
"10","21","178219.35052064306","178219.35052064306","0.33607385973761905","8.806388291726272E13"
"10","20","175684.03029302304","175684.03029302304","0.3305344275711422","1.6720202270683037E13"
"10","17","21960.0","21960.0","0.8707700162859057","3.2287339982769112E16"
"10","33","149386.7507511957","149386.7507511957","0.3901061451002294","1.6132266162415378E15"
"8","38","565627.5040165557","565627.5040165557","0.02831934644913514","7.119745030144659E14"
"8","57","502299.7113278078","502299.7113278078","0.0617640758929662","8.188769341799324E15"
"8","36","540637.9794280078","540637.9794280078","0.03314900271665317","9.96260978884825E14"
"8","11","356665.0026285167","356665.0026285167","0.12327307631888165","4.798975804983593E15"
"8","42","620990.2618399088","620990.2618399088","0.019979080302584457","3.1923872912814656E14"
"8","41","577570.9484556842","577570.9484556842","0.0262662674858812","9.033421196321198E14"
"8","39","632233.0867646825","632233.0867646825","0.018612639655064073","3.7731695960060825E14"
"8","34","602467.3937235101","602467.3937235101","0.02245255899450279","3.5975537852618306E14"
"8","32","577573.5928866548","577573.5928866548","0.026265829802804234","4.150421658997335E14"
"8","45","373417.66696287884","373417.66696287884","0.09508054194658762","3.265774913429931E15"
