"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Daruanus"
"15","34","449996.23998429056","449996.23998429056","0.058684572321079605"
"15","32","392050.33975243475","392050.33975243475","0.08454750562975213"
"15","45","294799.2143815848","294799.2143815848","0.15604209108891887"
"15","30","275209.3385043461","275209.3385043461","0.198497892462671"
"15","28","259578.57615758618","259578.57615758618","0.3292049333562094"
"15","26","391106.3497311181","391106.3497311181","0.10587926698035245"
"15","27","173631.2624500549","173631.2624500549","0.3708072479778896"
"15","29","214517.97244053896","214517.97244053896","0.25878692157249084"
"15","24","332399.1726824839","332399.1726824839","0.19083665419762272"
"15","25","92750.54069923259","92750.54069923259","0.5900170706250102"
"15","18","152640.7589734799","152640.7589734799","0.38218862266031245"
"15","19","73025.5023947114","73025.5023947114","0.6311836747721734"
"16","31","465149.3688053326","465149.3688053326","0.23381315642892417"
"16","23","421160.33300870075","421160.33300870075","0.10304191894731504"
"16","22","418300.13016971404","418300.13016971404","0.10491589092639819"
"16","21","425009.26401667966","425009.26401667966","0.10057286304848352"
"16","20","419841.8370053177","419841.8370053177","0.10390158722771724"
"16","17","381777.56102212163","381777.56102212163","0.25198990847602454"
"17","31","408744.770364098","408744.770364098","0.23681036677845269"
"17","23","207399.99999999953","207399.99999999953","0.27065847242039015"
"17","22","204959.99999999953","204959.99999999953","0.27485207434259334"
"17","21","203739.99999999953","203739.99999999953","0.2769731787342419"
"17","20","201299.99999999953","201299.99999999953","0.2812646211722032"
"17","33","61532.602740335606","61532.602740335606","0.7325741038748214"
"18","38","421030.89257202897","421030.89257202897","0.09726376017071447"
"18","57","364597.5398984466","364597.5398984466","0.1442491532282305"
"18","36","395716.10139088304","395716.10139088304","0.11408496992840016"
"18","42","470364.31635488605","470364.31635488605","0.07127601583596604"
"18","41","430782.5768296571","430782.5768296571","0.09146695930902131"
"18","39","481061.18737640744","481061.18737640744","0.04825146240286029"
"18","34","466263.16774971545","466263.16774971545","0.0832458793407007"
"18","32","462593.1081414849","462593.1081414849","0.05712499279572974"
"18","45","221482.0353888769","221482.0353888769","0.24767616632471315"
"18","30","168974.1119225068","168974.1119225068","0.3953987509295272"
"18","28","128893.4769489907","128893.4769489907","0.44387984838964"
"18","27","214437.79634196925","214437.79634196925","0.27283806698236696"
"18","29","45056.8585234253","45056.8585234253","0.7528280014492383"
"18","24","476412.27702484705","476412.27702484705","0.04968586527133633"
"18","25","104246.34717821046","104246.34717821046","0.5569050116026604"
"18","19","9520.0","9520.0","0.9417751399765364"
"19","38","444848.2101796061","444848.2101796061","0.060619483159191925"
"19","57","394118.5024837064","394118.5024837064","0.11976368047368895"
"19","36","419026.55285792955","419026.55285792955","0.07133073755790292"
"19","42","486130.1991236493","486130.1991236493","0.04673459019134783"
"19","41","451455.81267716445","451455.81267716445","0.05814730946034299"
"19","39","459473.46604564553","459473.46604564553","0.05528256978362341"
"19","34","418454.6603874777","418454.6603874777","0.07158825499119457"
"19","32","397054.55997885176","397054.55997885176","0.08192304164790543"
"19","45","207650.72597994862","207650.72597994862","0.30452901876996563"
"19","30","170799.99999999953","170799.99999999953","0.3592325425357717"
"19","28","139811.175518983","139811.175518983","0.4143693828567113"
"19","26","432735.13793081284","432735.13793081284","0.06542764713494889"
"19","27","146737.54972739564","146737.54972739564","0.39667304617849014"
"19","29","74218.19184000605","74218.19184000605","0.6264577701456229"
"19","24","391978.1856175159","391978.1856175159","0.08458595538086171"
"19","25","28962.55686226615","28962.55686226615","0.8331822607897074"
"20","40","400661.92843842733","400661.92843842733","0.0856085911518753"
"20","35","360937.1856708583","360937.1856708583","0.19425258828405526"
"20","44","451534.90418792586","451534.90418792586","0.05811833708829489"
"20","37","378817.36655016156","378817.36655016156","0.09189981443476053"
"20","31","207953.6248782401","207953.6248782401","0.4115659427827658"
"20","23","3660.0","3660.0","0.9772010187314536"
"20","22","1704.2593699317015","1704.2593699317015","0.9893183440819814"
"20","21","2380.0","2380.0","0.9851147132368052"
"20","33","320115.4693231794","320115.4693231794","0.13303330442945743"
"21","40","399064.79386184824","399064.79386184824","0.11504466454149773"
"21","35","359215.35045150795","359215.35045150795","0.2920872818109337"
"21","44","450169.02703317936","450169.02703317936","0.058620711940743836"
"21","37","377586.48333858495","377586.48333858495","0.0926153802536673"
"21","31","206580.68181705617","206580.68181705617","0.39210693689945003"
"21","23","3408.518739863403","3408.518739863403","0.9787507859371137"
"21","22","5950.0","5950.0","0.9632011975446966"
"21","33","321888.6571471561","321888.6571471561","0.17111872082000376"
"22","40","395461.7363285599","395461.7363285599","0.10868380437216149"
"22","35","355778.6058773063","355778.6058773063","0.22998381967991632"
"22","44","446268.2539683944","446268.2539683944","0.08140901941082937"
"22","37","373519.6594558304","373519.6594558304","0.14742276396143264"
"22","31","202700.3515043815","202700.3515043815","0.5895910474221916"
"22","23","1190.0","1190.0","0.9925294520752547"
"22","33","324376.98870295874","324376.98870295874","0.1998986719608916"
"23","40","392643.26875676785","392643.26875676785","0.09004539454792201"
"23","35","352826.7790290296","352826.7790290296","0.22846653852778667"
"23","44","443696.56534618273","443696.56534618273","0.06106099294939418"
"23","37","371089.4819312446","371089.4819312446","0.09648572049006622"
"23","31","200104.17511886108","200104.17511886108","0.40844009553857974"
"23","33","326330.1849354414","326330.1849354414","0.12792427437936185"
"24","39","436554.6276240803","436554.6276240803","0.09499428561147846"
"24","34","298395.79169284494","298395.79169284494","0.16931452963296872"
"24","32","167452.77782109173","167452.77782109173","0.3481309583351959"
"24","45","375485.43527013104","375485.43527013104","0.15614882546333608"
"24","30","417501.85065458063","417501.85065458063","0.07201936205226668"
"24","28","456687.420452983","456687.420452983","0.056261669651295115"
"24","26","60005.18060967736","60005.18060967736","0.6851531253269741"
"24","27","250214.77834052866","250214.77834052866","0.20665844096356026"
"24","29","470468.6668631607","470468.6668631607","0.05158202134735547"
"24","25","299942.0350667773","299942.0350667773","0.15106634846107408"
"25","43","452091.2077225116","452091.2077225116","0.07959095350940144"
"25","38","459398.49716776324","459398.49716776324","0.05530869167351402"
"25","57","425998.32969156065","425998.32969156065","0.09773093685354281"
"25","36","426503.2877950645","426503.2877950645","0.08281282724050128"
"25","42","469192.9726668968","469192.9726668968","0.051998338627239765"
"25","41","451463.4284191793","451463.4284191793","0.058144519074863996"
"25","39","372716.9511841385","372716.9511841385","0.09550129325613946"
"25","34","312404.02446191333","312404.02446191333","0.16126749134757506"
"25","32","282993.6036379619","282993.6036379619","0.226934195442636"
"25","45","149392.17683667352","149392.17683667352","0.43041433173088123"
"25","30","147373.7944819225","147373.7944819225","0.3950858910102463"
"25","28","148886.36875147434","148886.36875147434","0.39133812070319507"
"25","26","327741.6751040365","327741.6751040365","0.19221014231825218"
"25","27","33222.76930058661","33222.76930058661","0.9698236871260364"
"25","29","118391.87134258833","118391.87134258833","0.474246904002808"
"26","39","377949.6745599862","377949.6745599862","0.0924036639191133"
"26","34","235110.06784057504","235110.06784057504","0.2669568405044883"
"26","32","101883.21206165395","101883.21206165395","0.5724250179860624"
"26","45","364758.1450769808","364758.1450769808","0.15532850696472672"
"26","30","414627.28323157865","414627.28323157865","0.07333578003252754"
"26","28","464678.51510479767","464678.51510479767","0.05349878223088114"
"26","27","268972.9482680366","268972.9482680366","0.22907659240708314"
"27","43","411527.3041974241","411527.3041974241","0.17774541026898488"
"27","38","461711.3804098827","461711.3804098827","0.06613512293876307"
"27","57","444536.5451793582","444536.5451793582","0.08685297441719454"
"27","36","426222.7592468516","426222.7592468516","0.09889914572244761"
"27","42","457497.6932182275","457497.6932182275","0.09304987452906469"
"27","41","447559.8830324267","447559.8830324267","0.08645708570137194"
"27","39","324185.7469106246","324185.7469106246","0.2250191895684324"
"27","34","249169.73592312486","249169.73592312486","0.2080238116616042"
"27","32","216304.53069688554","216304.53069688554","0.2558899115621721"
"27","45","128746.42713489158","128746.42713489158","0.4442913427724761"
"27","30","148987.3242930416","148987.3242930416","0.39108924817372337"
"27","28","176299.3706738625","176299.3706738625","0.3292552725391177"
"27","29","190399.99999999988","190399.99999999988","0.3467191291220657"
"28","43","370194.1659453851","370194.1659453851","0.12055532514147263"
"28","50","463655.9159549237","463655.9159549237","0.12634748924555592"
"28","38","282467.1931393089","282467.1931393089","0.2204472905887802"
"28","57","246575.60382162666","246575.60382162666","0.2894512413423077"
"28","36","252632.02033788152","252632.02033788152","0.23584084512208137"
"28","42","312647.5864291928","312647.5864291928","0.1394431735795629"
"28","41","282564.64835502626","282564.64835502626","0.19530092729646006"
"28","39","322787.4881404166","322787.4881404166","0.16267485276931765"
"28","34","345473.2789956406","345473.2789956406","0.11338752498637178"
"28","32","381873.32192757295","381873.32192757295","0.09014706591230189"
"28","45","73355.9268225818","73355.9268225818","0.629870844347643"
"28","30","6985.563685201073","6985.563685201073","1.0068200111846668"
"28","29","30500.0","30500.0","0.8552452850613096"
"29","43","441673.698560373","441673.698560373","0.06409996753641067"
"29","38","334648.2011007971","334648.2011007971","0.16845991198570853"
"29","57","280383.7099405023","280383.7099405023","0.43479435063923183"
"29","36","307967.23413376254","307967.23413376254","0.1981921826156475"
"29","42","375132.2033630271","375132.2033630271","0.13333074488113097"
"29","41","340063.1119365927","340063.1119365927","0.16630360164307026"
"29","39","391808.991218935","391808.991218935","0.08776460023565782"
"29","34","398716.86407775583","398716.86407775583","0.08497028733863934"
"29","32","418085.7186032546","418085.7186032546","0.07175487890198848"
"29","45","134764.42149172735","134764.42149172735","0.6024297607859906"
"29","30","73991.3508458928","73991.3508458928","0.6841458275563297"
"30","63","450192.21006143495","450192.21006143495","0.21201190094640243"
"30","43","321032.2732997409","321032.2732997409","0.17707997526790434"
"30","50","471832.9900505045","471832.9900505045","0.08752422322225847"
"30","38","279998.6928540913","279998.6928540913","0.17129528400375166"
"30","57","255190.05936752292","255190.05936752292","0.20028001440144289"
"30","36","247463.36072234996","247463.36072234996","0.2102726452163194"
"30","42","295658.96654760826","295658.96654760826","0.17715323679385986"
"30","41","273755.2425068784","273755.2425068784","0.19083184759968017"
"30","39","265414.1339491923","265414.1339491923","0.18778376405205882"
"30","34","281833.65537139075","281833.65537139075","0.16932605154129463"
"30","32","324068.32921468874","324068.32921468874","0.12976059812858873"
"30","45","9654.185620755383","9654.185620755383","0.9409791595617223"
"31","55","465089.8450837205","465089.8450837205","0.12133663953375773"
"31","54","455061.5559460051","455061.5559460051","0.08139798429668298"
"31","51","438368.94518202293","438368.94518202293","0.1436399767833267"
"31","53","423834.1430323888","423834.1430323888","0.15735980749909978"
"31","62","412567.7128666268","412567.7128666268","0.08939104499099096"
"31","52","424744.27094429353","424744.27094429353","0.11957252535756983"
"31","48","400246.6920537876","400246.6920537876","0.13369424908899014"
"31","49","383818.6113257139","383818.6113257139","0.3318288271347048"
"31","40","166754.31628596582","166754.31628596582","0.45012272017913857"
"31","35","128105.52720316169","128105.52720316169","0.6508574560452395"
"31","47","395570.7269250337","395570.7269250337","0.30453016591003257"
"31","46","380740.5378994987","380740.5378994987","0.24820807791210295"
"31","44","217042.9607243688","217042.9607243688","0.31848549072347626"
