"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Pcoelestis"
"57","63","378654.0384044513","378654.0384044513","0.09199444511148974"
"57","68","531515.7541409275","531515.7541409275","0.05614424842244708"
"57","66","725593.0567473745","725593.0567473745","0.02719416259794631"
"57","73","633944.351895337","633944.351895337","0.020918390593821064"
"57","65","609012.8093890954","609012.8093890954","0.06203274460407207"
"50","102","698594.8743728356","698594.8743728356","0.01233032373451016"
"50","97","680924.5717405109","680924.5717405109","0.014081211850032407"
"50","103","691267.1027178988","691267.1027178988","0.013610507563477762"
"50","92","656695.0957636262","656695.0957636262","0.020240411601564257"
"50","93","613738.9921619764","613738.9921619764","0.04185308282958319"
"50","96","599484.042573277","599484.042573277","0.023835659051311988"
"50","85","588117.0563756833","588117.0563756833","0.026071047740148116"
"50","83","569715.5979082885","569715.5979082885","0.0403842266031801"
"50","81","558457.2280846571","558457.2280846571","0.039876529193095964"
"50","80","536884.4106509322","536884.4106509322","0.03600506540455429"
"50","89","518400.5371332085","518400.5371332085","0.03973042683886469"
"50","70","479792.1571889219","479792.1571889219","0.05208320314407397"
"50","67","461159.99999999907","461159.99999999907","0.06689406535857839"
"50","78","705607.8591540763","705607.8591540763","0.019842287906368765"
"50","63","479662.48936100863","479662.48936100863","0.06035504857587408"
"50","68","415329.3907249994","415329.3907249994","0.07759717157292459"
"50","57","103300.24975768437","103300.24975768437","0.5514374738956306"
"50","99","720896.4655205336","720896.4655205336","0.011090867521161372"
"50","94","699598.2845176209","699598.2845176209","0.012683844045505235"
"50","91","693150.6570003366","693150.6570003366","0.018046817510146654"
"50","90","647076.7677022553","647076.7677022553","0.017659694414827717"
"50","87","621755.9974781092","621755.9974781092","0.02340818203613357"
"50","64","659592.5314919805","659592.5314919805","0.04408813542238487"
"50","86","638835.5084057229","638835.5084057229","0.018731642809317012"
"50","84","647726.752882725","647726.752882725","0.019558400031607873"
"50","82","591464.0820878295","591464.0820878295","0.025071186051638137"
"50","79","623952.2004929534","623952.2004929534","0.021673476916256432"
"50","77","575956.7946469587","575956.7946469587","0.02932746725823403"
"50","72","585771.5134760302","585771.5134760302","0.03514317337506292"
"50","88","623327.196262123","623327.196262123","0.03287872623739017"
"50","71","611468.49632667","611468.49632667","0.02305539415768886"
"50","74","721530.2011697076","721530.2011697076","0.01224192515719875"
"50","66","555688.3749008963","555688.3749008963","0.03542689069636697"
"50","55","695421.9783699673","695421.9783699673","0.012646602854820046"
"50","54","629303.6090791147","629303.6090791147","0.01965673939550936"
"50","51","703975.600713547","703975.600713547","0.012076083105212708"
"50","53","640233.8354851292","640233.8354851292","0.01804530069213065"
"50","62","584225.6567457471","584225.6567457471","0.026114002521035146"
"50","52","571600.4958010442","571600.4958010442","0.03727325200229732"
"50","73","463012.7139723049","463012.7139723049","0.06226289691697069"
"50","65","449468.4950027078","449468.4950027078","0.06430993127201651"
"66","116","593263.9362037764","593263.9362037764","0.023793172998638635"
"66","107","587031.1089712359","587031.1089712359","0.024746247017278084"
"66","108","399182.1418851293","399182.1418851293","0.08083206067575145"
"66","111","577763.1487036875","577763.1487036875","0.026234475173450556"
"66","101","494474.3750691227","494474.3750691227","0.04434079380961243"
"66","100","346502.2743071099","346502.2743071099","0.11265469334034181"
"66","102","517141.4449645276","517141.4449645276","0.03997662472720189"
"66","97","397784.49642991327","397784.49642991327","0.08154709562608899"
"66","103","350594.21558263013","350594.21558263013","0.10978705478220248"
"66","92","257364.94652535694","257364.94652535694","0.197553959614625"
"66","93","470028.7599711317","470028.7599711317","0.06436441111611291"
"66","96","214164.90282023323","214164.90282023323","0.25936331451155725"
"66","85","315902.2684312347","315902.2684312347","0.14891970542646796"
"66","83","356506.6832473129","356506.6832473129","0.1429030177406898"
"66","81","214253.15213550525","214253.15213550525","0.26301101349917433"
"66","80","293985.34742398286","293985.34742398286","0.17974475392574377"
"66","89","140625.1300443843","140625.1300443843","0.4122495222532206"
"66","70","330011.3278358789","330011.3278358789","0.13316665004498965"
"66","67","308212.41457799834","308212.41457799834","0.14868236637386073"
"66","105","639150.4828285741","639150.4828285741","0.018531550542641457"
"66","68","230860.0","230860.0","0.23346411614677098"
"66","118","637257.425221549","637257.425221549","0.018032593066186146"
"66","115","494761.83725101425","494761.83725101425","0.0442605477572296"
"66","113","439141.1141079815","439141.1141079815","0.06283917514673264"
"66","112","307449.2120659924","307449.2120659924","0.1440865087431464"
"66","99","239677.56945529924","239677.56945529924","0.2208460608580691"
"66","95","207493.27218008737","207493.27218008737","0.27049944247482266"
"66","94","205437.88574651908","205437.88574651908","0.27402565183511"
"66","91","161119.22448919574","161119.22448919574","0.36230579266414936"
"66","90","179007.0132704301","179007.0132704301","0.32368524678657323"
"66","87","190952.8792660638","190952.8792660638","0.30021432723139957"
"66","117","655748.6060984028","655748.6060984028","0.01604924271487763"
"66","119","661995.251418013","661995.251418013","0.015429780519954047"
