"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Cvroliki"
"5","27","526083.9530911387","526083.9530911387","0.043821022607078625"
"5","29","312992.30022478144","312992.30022478144","0.13914060968214348"
"5","25","408806.1228748903","408806.1228748903","0.08171688083110266"
"5","18","286027.5624830585","286027.5624830585","0.17197237990456568"
"5","19","316587.05595775694","316587.05595775694","0.13602425716730643"
"5","15","377962.7177381387","377962.7177381387","0.10039577481773673"
"5","8","201748.78463078768","201748.78463078768","0.3621157832540619"
"5","16","413477.64207995555","413477.64207995555","0.11311136783511287"
"6","57","536136.9560103081","536136.9560103081","0.342021320401768"
"6","7","19003.03396829043","19003.03396829043","0.8871470382157551"
"6","11","159218.81798330235","159218.81798330235","0.3943540431409996"
"6","45","517658.1497474944","517658.1497474944","0.03831403607994904"
"6","30","455638.62917886977","455638.62917886977","0.056634722472039475"
"6","28","403851.1790251449","403851.1790251449","0.09495421623150568"
"6","27","517012.406911091","517012.406911091","0.04639893698398741"
"6","29","302427.5926564898","302427.5926564898","0.14871872877284073"
"6","25","399904.58124407614","399904.58124407614","0.0864315026038299"
"6","18","276109.98261562356","276109.98261562356","0.18306255131568935"
"6","19","307269.6717868523","307269.6717868523","0.14424961239381484"
"6","15","371561.4490229037","371561.4490229037","0.10452817797173278"
"6","8","195054.57723416787","195054.57723416787","0.3777174643807606"
"6","16","414953.9020180432","414953.9020180432","0.11211578965106482"
"7","57","509936.5161468622","509936.5161468622","0.18264561721534409"
"7","11","174573.89524210073","174573.89524210073","0.44797512521878663"
"7","45","494675.9631314214","494675.9631314214","0.04880888720537336"
"7","30","432097.7696077586","432097.7696077586","0.07240235020667476"
"7","28","379866.6014537204","379866.6014537204","0.12085924093879008"
"7","27","497907.0870152378","497907.0870152378","0.07270982748833114"
"7","29","279141.9153405661","279141.9153405661","0.1912197323895991"
"7","25","381313.67310916074","381313.67310916074","0.1408168425349745"
"7","18","255025.5251930676","255025.5251930676","0.22956191415751642"
"7","19","287574.53016565973","287574.53016565973","0.17999884604205513"
"7","15","358219.6902739991","358219.6902739991","0.12525390693234806"
"7","14","532358.4675761246","532358.4675761246","0.038437141149764285"
"7","12","532334.1737104615","532334.1737104615","0.03844302570606398"
"7","8","181684.61905180625","181684.61905180625","0.37755802028790186"
"7","16","414770.43771223596","414770.43771223596","0.2594444517940782"
"8","57","502299.7113278078","502299.7113278078","0.061509958733695684"
"8","36","540637.9794280078","540637.9794280078","0.08682641500109965"
"8","11","356665.0026285167","356665.0026285167","0.14672644785661743"
"8","45","373417.66696287884","373417.66696287884","0.11299699504224484"
"8","30","323323.01742993755","323323.01742993755","0.1303714470701413"
"8","28","283015.95856064325","283015.95856064325","0.17492501657947207"
"8","27","329193.39802006923","329193.39802006923","0.12563695129984082"
"8","29","190334.88067088445","190334.88067088445","0.30138570660184955"
"8","25","211321.01551904387","211321.01551904387","0.3116410727267744"
"8","18","129878.506304931","129878.506304931","0.47329961575038443"
"8","19","134661.4391724669","134661.4391724669","0.4280363125992564"
"8","13","401985.84054665384","401985.84054665384","0.17783476383526614"
"8","15","167602.05845991266","167602.05845991266","0.39874401713827246"
"8","14","342019.92763580295","342019.92763580295","0.22145595853111252"
"8","12","342719.9999999998","342719.9999999998","0.2204811809995551"
"9","16","489280.3016676635","489280.3016676635","0.06310365238527305"
"9","31","460742.3819229127","460742.3819229127","0.0938341600376186"
"9","23","256172.852777182","256172.852777182","0.19904353027521407"
"9","22","254382.58293365873","254382.58293365873","0.22133850837709576"
"9","21","251517.42146419952","251517.42146419952","0.2618705085917552"
"9","20","249964.75431548298","249964.75431548298","0.20698428503556643"
"9","10","88771.75451685069","88771.75451685069","0.5715628485854237"
"9","17","24079.775746464085","24079.775746464085","0.8592161094312568"
"9","33","40259.999999999534","40259.999999999534","0.7759308542748583"
"10","35","537587.0389992667","537587.0389992667","0.06813071075314528"
"10","16","414183.3962147684","414183.3962147684","0.11184632515132847"
"10","31","383754.0175685452","383754.0175685452","0.23748005445743284"
"10","23","181783.89505123888","181783.89505123888","0.31807064505939553"
"10","22","179339.99999999953","179339.99999999953","0.3230067824014898"
"10","21","178219.35052064306","178219.35052064306","0.3252957967687892"
"10","20","175684.03029302304","175684.03029302304","0.3305344275711422"
"10","17","21960.0","21960.0","0.899490452857678"
"10","33","149386.7507511957","149386.7507511957","0.3901061451002294"
"11","28","541885.7636070536","541885.7636070536","0.06780872023898157"
"11","29","445130.9597185974","445130.9597185974","0.08482764898035862"
"11","18","429940.32423116564","429940.32423116564","0.0747273816154605"
"11","19","464858.51062446926","464858.51062446926","0.0574502857845093"
"11","15","532659.6740884368","532659.6740884368","0.04073581638497209"
"11","16","278847.729235868","278847.729235868","0.26554583669563564"
"12","34","445812.9420508103","445812.9420508103","0.060252089006466794"
"12","32","350592.1191356125","350592.1191356125","0.10978850512502573"
"12","45","373495.21871102916","373495.21871102916","0.09503408935960325"
"12","30","382112.2935734985","382112.2935734985","0.10267454873011747"
"12","28","386086.84010206774","386086.84010206774","0.12170861406985203"
"12","26","303759.0861192463","303759.0861192463","0.14747617026865315"
"12","27","216514.57895485885","216514.57895485885","0.29110198965661493"
"12","29","362085.7369463753","362085.7369463753","0.10211816913629104"
"12","24","229152.0037006","229152.0037006","0.23599038180249546"
"12","25","201040.3195878873","201040.3195878873","0.28172524080991285"
"12","18","320909.3088397404","320909.3088397404","0.1323695000761609"
"12","19","232634.26488804255","232634.26488804255","0.23086846767763286"
"12","13","50277.00965650201","50277.00965650201","0.7284673796776506"
"12","15","126865.06256649221","126865.06256649221","0.44958981223978384"
"12","14","1220.0","1220.0","1.037278121054925"
"13","39","524005.8034029765","524005.8034029765","0.06388034432063254"
"13","34","408715.5917016125","408715.5917016125","0.0761191737440964"
"13","32","301461.67650300026","301461.67650300026","0.1496266751925296"
"13","45","372490.64041932585","372490.64041932585","0.09563758104415107"
"13","30","391885.718673186","391885.718673186","0.08463525505756798"
"13","28","404927.6029119275","404927.6029119275","0.0960325537572432"
"13","26","236775.61107512697","236775.61107512697","0.22492165065163672"
"13","27","214517.97244053893","214517.97244053893","0.31095769636889625"
"13","29","392088.77119856374","392088.77119856374","0.08452703327886485"
"13","24","158617.57185129228","158617.57185129228","0.3680623470684584"
"13","25","224528.09623741935","224528.09623741935","0.2429675397035043"
"13","18","363625.48865556694","363625.48865556694","0.1011321591266195"
"13","19","274023.4648711674","274023.4648711674","0.17786784051398424"
"13","15","180917.02518005308","180917.02518005308","0.3198128408825237"
"13","14","30637.31221892672","30637.31221892672","0.824435755091465"
"14","39","527206.5341021474","527206.5341021474","0.07518596138555486"
"14","34","419516.1905099721","419516.1905099721","0.07111099484122588"
"14","32","323282.16034912836","323282.16034912836","0.1304050160777251"
"14","45","356241.5360398048","356241.5360398048","0.10594890493066045"
"14","30","368301.8263598479","368301.8263598479","0.09819555830196919"
"14","28","374898.5095995977","374898.5095995977","0.13057351427698513"
"14","26","278467.4252044568","278467.4252044568","0.172956118037781"
"14","27","198139.27551093907","198139.27551093907","0.34850441913867736"
"14","29","352336.45695556357","352336.45695556357","0.10858835486965451"
"14","24","205513.52680541447","205513.52680541447","0.2738950714039244"
"14","25","189966.61812013146","189966.61812013146","0.31685068721618326"
"14","18","313768.8399124424","313768.8399124424","0.13846142448087984"
"14","19","224921.56232784787","224921.56232784787","0.24236588118991811"
"14","15","123175.66683399765","123175.66683399765","0.46016437759932854"
"15","57","530819.5479633348","530819.5479633348","0.05146965810136513"
"15","39","523924.9156129138","523924.9156129138","0.03683053646820368"
"15","34","449996.23998429056","449996.23998429056","0.058684572321079605"
"15","32","392050.33975243475","392050.33975243475","0.08454750562975213"
"15","45","294799.2143815848","294799.2143815848","0.15604209108891887"
"15","30","275209.3385043461","275209.3385043461","0.198497892462671"
"15","28","259578.57615758618","259578.57615758618","0.280646296723547"
"15","26","391106.3497311181","391106.3497311181","0.10587926698035245"
"15","27","173631.2624500549","173631.2624500549","0.33483772317674637"
