"Coord1","Coord2","Cost","Length"
"192107.61538456043-1185176.3541633538","204007.61538456043-1203476.3541633538","21828.879952943073","21828.879952943073"
"561007.6153845603-948496.3541633543","658587.6153845603-1024136.3541633543","123463.62217268697","123463.62217268697"
"181397.61538456043-1186396.3541633538","204007.61538456043-1203476.3541633538","28336.169465896408","28336.169465896408"
"456287.6153845603-1155896.354163354","458667.6153845603-1133936.354163354","22088.594341876986","22088.594341876986"
"-44702.384615439456-1776876.3541633526","-44702.384615439456-1786636.3541633526","9760.0","9760.0"
"-598052.3846154391-2029416.3541633522","-592102.3846154391-2028196.3541633522","6073.787944931894","6073.787944931894"
"317057.6153845603-1119296.354163354","332527.6153845603-1118076.354163354","15518.0314473196","15518.0314473196"
"156407.61538456043-1008276.3541633543","219477.61538456043-972896.3541633543","72315.76107599228","72315.76107599228"
"326577.6153845603-1021696.3541633543","328957.6153845603-1037556.3541633543","16037.580864955911","16037.580864955911"
"-107772.38461543934-1748816.3541633526","-106582.38461543934-1737836.3541633529","11044.297170938262","11044.297170938262"
"-317212.3846154392-2020876.3541633522","-316022.3846154392-2008676.3541633522","12257.899493795827","12257.899493795827"
"125467.61538456054-935076.3541633545","127847.61538456054-933856.3541633545","2674.471910489994","2674.471910489994"
"327767.6153845603-1019256.3541633543","339667.6153845603-1041216.3541633543","24977.021439715343","24977.021439715343"
"784727.6153845601-1186396.3541633538","797817.6153845601-1220556.3541633538","36582.15001882749","36582.15001882749"
"-172032.38461543934-2228276.3541633515","-147042.38461543934-2223396.354163352","25462.020736775696","25462.020736775696"
"574097.6153845603-946056.3541633543","677627.6153845601-1026576.3541633543","131156.1332915848","131156.1332915848"
"328957.6153845603-905796.3541633545","332527.6153845603-932636.3541633545","27076.382697842044","27076.382697842044"
"-147042.38461543934-2223396.354163352","-141092.38461543934-2241696.3541633515","19242.985735066763","19242.985735066763"
"-260092.38461543928-2044056.3541633522","-255332.38461543928-2048936.3541633522","6817.037479726806","6817.037479726806"
"362277.6153845603-1174196.3541633538","396787.6153845603-1182736.3541633538","35550.97326375187","35550.97326375187"
"219477.61538456043-1081476.354163354","220667.61538456043-1079036.354163354","2714.7191383272047","2714.7191383272047"
"533637.6153845603-1114416.354163354","563387.6153845603-1119296.354163354","30147.58530960647","30147.58530960647"
"-498092.38461543916-2340516.3541633515","-494522.38461543916-2336856.3541633515","5112.778109795105","5112.778109795105"
"377747.6153845603-1085136.354163354","393217.6153845603-1065616.354163354","24906.852470755915","24906.852470755915"
"434867.6153845603-1010716.3541633543","436057.6153845603-1007056.3541633543","3848.5971470134414","3848.5971470134414"
"384887.6153845603-1087576.354163354","389647.6153845603-1087576.354163354","4760.0","4760.0"
"227807.61538456043-920436.3541633545","261127.61538456043-924096.3541633545","33520.41169198255","33520.41169198255"
"-498092.38461543916-2340516.3541633515","-485002.38461543916-2336856.3541633515","13592.045467846257","13592.045467846257"
"578857.6153845603-1179076.3541633538","616937.6153845603-1194936.3541633538","41250.769689788816","41250.769689788816"
"123087.61538456054-936296.3541633545","125467.61538456054-935076.3541633545","2674.471910489994","2674.471910489994"
"438437.6153845603-1021696.3541633543","477707.6153845603-982656.3541633543","55373.77086671992","55373.77086671992"
"-260092.38461543928-2031856.3541633522","-216062.38461543934-2063576.354163352","54266.00501234617","54266.00501234617"
"401547.6153845603-1111976.354163354","415827.6153845603-1126616.354163354","20451.11243918042","20451.11243918042"
"-236292.38461543934-913116.3541633545","-182742.38461543934-919216.3541633545","53896.31248981696","53896.31248981696"
"493177.6153845603-1148576.354163354","505077.6153845603-1174196.3541633538","28248.79466455141","28248.79466455141"
"425347.6153845603-996076.3541633543","434867.6153845603-996076.3541633543","9520.0","9520.0"
