"Coord1","Coord2","Cost","Length"
"250417.61538456043-996076.3541633543","264697.6153845604-992416.3541633543","14741.573864414884","14741.573864414884"
"577667.6153845603-1182736.3541633538","577667.6153845603-1185176.3541633538","2440.0","2440.0"
"332527.6153845603-1015596.3541633543","346807.6153845603-1039996.3541633543","28271.512163306725","28271.512163306725"
"298017.6153845603-1202256.3541633538","300397.6153845603-1204696.3541633538","3408.518739863403","3408.518739863403"
"528877.6153845603-1132716.354163354","541967.6153845603-1152236.354163354","23502.73388352938","23502.73388352938"
"401547.6153845603-1111976.354163354","420587.6153845603-1108316.354163354","19388.58427013174","19388.58427013174"
"85007.61538456054-931416.3541633545","131417.61538456054-930196.3541633545","46426.03256794619","46426.03256794619"
"401547.6153845603-1111976.354163354","415827.6153845603-1126616.354163354","20451.11243918042","20451.11243918042"
"425347.6153845603-996076.3541633543","434867.6153845603-996076.3541633543","9520.0","9520.0"
"154027.61538456043-820396.3541633547","249227.61538456043-926536.3541633545","142578.88904041843","142578.88904041843"
"364657.6153845603-1154676.354163354","392027.6153845603-1194936.3541633538","48682.48658398604","48682.48658398604"
"421777.6153845603-715476.3541633547","425347.6153845603-704496.3541633547","11545.791441040325","11545.791441040325"
"-257712.38461543928-2269756.3541633515","-189882.38461543934-2235596.3541633515","75946.12893360657","75946.12893360657"
"501507.6153845603-1177856.3541633538","503887.6153845603-1159556.354163354","18454.116072030964","18454.116072030964"
"138557.61538456054-1005836.3541633543","213527.61538456043-946056.3541633543","95886.12673374591","95886.12673374591"
"290877.6153845603-933856.3541633545","293257.6153845603-915556.3541633545","18454.116072031193","18454.116072031193"
"890637.6153845601-1525556.354163353","893017.6153845601-1536536.354163353","11234.98108587638","11234.98108587638"
"406307.6153845603-1105876.354163354","421777.6153845603-1121736.354163354","22155.37180911212","22155.37180911212"
"326577.6153845603-1035116.3541633543","346807.6153845603-1039996.3541633543","20810.269099653662","20810.269099653662"
"496747.6153845603-1179076.3541633538","503887.6153845603-1159556.354163354","20784.850252046344","20784.850252046344"
"249227.61538456043-974116.3541633543","250417.61538456043-996076.3541633543","21992.21907857413","21992.21907857413"
"490797.6153845603-1046096.3541633543","518167.6153845603-1037556.3541633543","28671.388177066","28671.388177066"
"340857.6153845603-1099776.354163354","352757.6153845603-1098556.354163354","11962.374346257518","11962.374346257518"
"-175602.38461543934-2241696.3541633515","-143472.38461543934-2224616.3541633515","36387.68060759026","36387.68060759026"
"458667.6153845603-1133936.354163354","471757.6153845603-1135156.354163354","13146.729631356993","13146.729631356993"
"534827.6153845603-1227876.3541633538","553867.6153845603-1209576.3541633538","26408.551645253097","26408.551645253097"
"438437.6153845603-1021696.3541633543","494367.6153845603-1000956.3541633543","59651.59260237735","59651.59260237735"
"967987.6153845601-2508876.354163351","977507.6153845601-2507656.354163351","9597.853926790092","9597.853926790092"
"-175602.38461543934-2125796.354163352","-149422.38461543934-2173376.354163352","54306.986659176735","54306.986659176735"
"362277.6153845603-1174196.3541633538","384887.6153845603-1157116.354163354","28336.16946589627","28336.16946589627"
"412257.6153845603-1069276.354163354","428917.6153845603-1070496.354163354","16704.610142113463","16704.610142113463"
"528877.6153845603-1132716.354163354","532447.6153845603-1147356.354163354","15068.991339834263","15068.991339834263"
"545537.6153845603-1025356.3541633543","553867.6153845603-1004616.3541633543","22350.313196910687","22350.313196910687"
"455097.6153845603-1137596.354163354","458667.6153845603-1133936.354163354","5112.778109795105","5112.778109795105"
"528877.6153845603-1179076.3541633538","544347.6153845603-1194936.3541633538","22155.37180911212","22155.37180911212"
"333717.6153845603-1119296.354163354","336097.6153845603-1121736.354163354","3408.518739863403","3408.518739863403"
"384887.6153845603-1157116.354163354","396787.6153845603-1179076.3541633538","24977.02143971514","24977.02143971514"
"455097.6153845603-1151016.354163354","468187.6153845603-1164436.354163354","18746.853069248715","18746.853069248715"
"411067.6153845603-1176636.3541633538","496747.6153845603-1181516.3541633538","85818.8603979335","85818.8603979335"
"352757.6153845603-1098556.354163354","356327.6153845603-1097336.354163354","3772.7046001509316","3772.7046001509316"
"-237482.38461543934-870416.3541633545","-192262.38461543934-886276.3541633545","47920.642733586115","47920.642733586115"
"400357.6153845603-725236.3541633547","407497.6153845603-727676.3541633547","7545.409200301863","7545.409200301863"
"71917.61538456054-2417376.3541633515","73107.61538456054-2419816.3541633515","2714.7191383272047","2714.7191383272047"
"909677.6153845601-2185576.354163352","912057.6153845601-2185576.354163352","2380.0","2380.0"
"436057.6153845603-1019256.3541633543","445577.6153845603-1024136.3541633543","10697.887641959976","10697.887641959976"
"539587.6153845603-1097336.354163354","546727.6153845603-1125396.354163354","28954.156869092218","28954.156869092218"
"-257712.38461543928-2269756.3541633515","-185122.38461543934-2241696.3541633515","77824.62142535608","77824.62142535608"
"893017.6153845601-1554836.354163353","897777.6153845601-1557276.354163353","5348.943820979988","5348.943820979988"
"891827.6153845601-1469436.3541633533","900157.6153845601-1464556.3541633533","9654.185620755383","9654.185620755383"
"490797.6153845603-1035116.3541633543","518167.6153845603-1037556.3541633543","27478.54617697232","27478.54617697232"
"950137.6153845601-1508476.3541633533","983457.6153845601-1506036.3541633533","33409.220284226925","33409.220284226925"
"415827.6153845603-1171756.354163354","420587.6153845603-1168096.354163354","6004.431696672051","6004.431696672051"
"869217.6153845601-1506036.3541633533","877547.6153845601-1495056.3541633533","13782.209547093673","13782.209547093673"
"411067.6153845603-1176636.3541633538","519357.6153845603-1222996.3541633538","117796.32294770495","117796.32294770495"
"415827.6153845603-1126616.354163354","421777.6153845603-1121736.354163354","7695.251782755389","7695.251782755389"
"465807.6153845603-1070496.354163354","465807.6153845603-1085136.354163354","14640.0","14640.0"
"419397.6153845603-1070496.354163354","428917.6153845603-1070496.354163354","9520.0","9520.0"
"39787.615384560544-880176.3541633545","49307.615384560544-886276.3541633545","11306.652908796661","11306.652908796661"
"420587.6153845603-1108316.354163354","421777.6153845603-1121736.354163354","13472.657495832067","13472.657495832067"
"157597.61538456043-1099776.354163354","183777.61538456043-1116856.354163354","31258.899532773063","31258.899532773063"
"-79212.38461543934-1812256.3541633526","-45892.384615439456-1815916.3541633526","33520.41169198242","33520.41169198242"
"425347.6153845603-996076.3541633543","447957.6153845603-983876.3541633543","25691.47913219478","25691.47913219478"
"537207.6153845603-1126616.354163354","550297.6153845603-1149796.354163354","26620.67805297228","26620.67805297228"
"181397.61538456043-993636.3541633543","221857.61538456043-970456.3541633543","46629.64722148346","46629.64722148346"
"-126812.38461543934-943616.3541633545","70727.61538456054-988756.3541633543","202631.86126569516","202631.86126569516"
"988217.6153845601-1464556.3541633533","991787.6153845601-1470656.3541633533","7067.878040826681","7067.878040826681"
"443197.6153845603-1086356.354163354","465807.6153845603-1070496.354163354","27617.959736374443","27617.959736374443"
"364657.6153845603-1154676.354163354","384887.6153845603-1157116.354163354","20376.616500292683","20376.616500292683"
"835897.6153845601-1792736.3541633526","838277.6153845601-1785416.3541633526","7697.194294026883","7697.194294026883"
"156407.61538456043-1008276.3541633543","221857.61538456043-970456.3541633543","75591.3678934308","75591.3678934308"
"443197.6153845603-1024136.3541633543","494367.6153845603-1000956.3541633543","56175.45104402812","56175.45104402812"
"503887.6153845603-1159556.354163354","506267.6153845603-1171756.354163354","12429.979887352996","12429.979887352996"
