"Coord1","Coord2","Cost","Length"
"-262132.38461543928-2255656.3541633515","-185132.38461543934-2249656.3541633515","77233.41245859845","77233.41245859845"
"413867.6153845603-1172656.3541633538","512867.6153845603-1317656.3541633536","175573.34649655662","175573.34649655662"
"-183132.38461543934-2133656.354163352","-121132.38461543934-2184656.354163352","80280.7573457052","80280.7573457052"
"317867.6153845603-1136656.354163354","336867.6153845603-1122656.354163354","23600.847442411894","23600.847442411894"
"-180132.38461543934-2149656.354163352","-123132.38461543934-2141656.354163352","57558.665724632636","57558.665724632636"
"-312132.3846154392-2025656.3541633522","-309132.3846154392-2026656.3541633522","3162.2776601683795","3162.2776601683795"
"541867.6153845603-1211656.3541633538","573867.6153845603-1229656.3541633538","36715.119501371635","36715.119501371635"
"534867.6153845603-1217656.3541633538","541867.6153845603-1211656.3541633538","9219.544457292888","9219.544457292888"
"605867.6153845603-1662656.3541633529","605867.6153845603-1678656.3541633529","16000.0","16000.0"
"536867.6153845603-1126656.354163354","540867.6153845603-1151656.354163354","25317.977802344325","25317.977802344325"
"377867.6153845603-1084656.354163354","396867.6153845603-1070656.354163354","23600.847442411894","23600.847442411894"
"491867.6153845603-2268656.3541633515","499867.6153845603-2281656.3541633515","15264.337522473748","15264.337522473748"
"904867.6153845601-2370656.3541633515","907867.6153845601-2367656.3541633515","4242.640687119285","4242.640687119285"
"399867.6153845603-1249656.3541633538","445867.6153845603-1277656.3541633538","53851.648071345044","53851.648071345044"
"-336132.3846154392-2327656.3541633515","-330132.3846154392-2325656.3541633515","6324.555320336759","6324.555320336759"
"782867.6153845601-1207656.3541633538","799867.6153845601-1152656.354163354","57567.3518584968","57567.3518584968"
"336867.6153845603-1081656.354163354","345867.6153845603-1096656.354163354","17492.8556845359","17492.8556845359"
"12867.615384560544-1761656.3541633526","63867.615384560544-1796656.3541633526","61854.66837676846","61854.66837676846"
"408867.6153845603-1107656.354163354","417867.6153845603-1107656.354163354","9000.0","9000.0"
"-594132.3846154391-1152656.354163354","-571132.3846154391-1167656.354163354","27459.060435491963","27459.060435491963"
"489867.6153845603-2299656.3541633515","498867.6153845603-2289656.3541633515","13453.62404707371","13453.62404707371"
"543867.6153845603-1013656.3541633543","788867.6153845601-1364656.3541633536","428049.0626084811","428049.0626084811"
"409867.6153845603-1062656.354163354","423867.6153845603-1069656.354163354","15652.475842498528","15652.475842498528"
"263867.6153845604-1273656.3541633538","302867.6153845603-1213656.3541633538","71561.1626512593","71561.1626512593"
"75867.61538456054-913656.3541633545","133867.61538456054-913656.3541633545","58000.0","58000.0"
"301867.6153845603-942656.3541633543","330867.6153845603-934656.3541633545","30083.217912982585","30083.217912982585"
"490867.6153845603-1035656.3541633543","496867.6153845603-1029656.3541633543","8485.28137423857","8485.28137423857"
"541867.6153845603-1174656.3541633538","547867.6153845603-1176656.3541633538","6324.555320336759","6324.555320336759"
"905867.6153845601-2393656.3541633515","906867.6153845601-2393656.3541633515","1000.0","1000.0"
"144867.61538456054-1713656.3541633529","146867.61538456054-1716656.3541633529","3605.5512754639894","3605.5512754639894"
"-518132.3846154391-1897656.3541633524","-514132.3846154391-1909656.3541633524","12649.110640673518","12649.110640673518"
"582867.6153845603-1081656.354163354","658867.6153845603-1160656.354163354","109622.07806824317","109622.07806824317"
"891867.6153845601-1468656.3541633533","896867.6153845601-1455656.3541633533","13928.38827718412","13928.38827718412"
"613867.6153845603-1196656.3541633538","619867.6153845603-1190656.3541633538","8485.28137423857","8485.28137423857"
"143867.61538456054-844656.3541633545","264867.6153845604-921656.3541633545","143422.45291445818","143422.45291445818"
"797867.6153845601-1152656.354163354","798867.6153845601-1218656.3541633538","66007.57532283677","66007.57532283677"
"229867.61538456043-1124656.354163354","249867.61538456043-1144656.354163354","28284.2712474619","28284.2712474619"
"247867.61538456043-1270656.3541633538","263867.6153845604-1273656.3541633538","16278.820596099706","16278.820596099706"
