"Id","Area","Perim","Capacity","BC_d10000_p0.01_beta0_Cvroliki","BC_d20000_p0.01_beta0_Cvroliki","BC_d50000_p0.01_beta0_Cvroliki","Dg_Cvroliki","CF_beta0_Cvroliki","F_d20000_p0.01_beta1_Cvroliki","BC_d542300_p1.0E-10_beta0_Cvroliki","d_EC_d524300_p1.0E-10_Cvroliki","Cvroliki_cluster21","BC_d654500_p1.0E-10_beta0_Clunulatus"
"21","1.2E7","24000.0","1.2E7","1.7226960729732721E-121","4.1505376760061336E-61","7.049022701446191E-25","19.0","415.720295531707","2414965.0041112937","8.159095270635557E-12","1.7551642379790818E-7","251","1.5964193976402322E-10"
"22","7.35E8","128000.0","7.35E8","2.363504961360919E-127","4.8615892065881876E-64","4.728400899326811E-26","23.0","385.115360195827","1.5696645570071576E7","2.124017659180085E-12","0.0016146913138081777","245","4.0106648129642944E-12"
"23","2.6E7","28000.0","2.6E7","8.334686908734477E-110","5.858719841513556E-55","5.673669458592861E-22","20.0","272.09247386069825","1.288822847894544E-4","4.549638512550666E-10","6.567453332606382E-7","244","2.0194663377880865E-11"
"24","1.0E7","16000.0","1.0E7","1.0000000000002211E-41","3.162277660168729E-21","6.309573444802349E-9","25.0","649.2714494459088","3.369540460186396E7","1.6588428433355975E-4","1.961948316374742E-5","245","7.376291061916897E-4"
"25","8.409999999999878E8","153999.99999999907","8.409999999999878E8","1.7428534372584694E-123","9.913498917802021E-62","2.0816315131430906E-24","20.0","1136.440766669836","4.151941660341925E-9","7.604126217252562E-11","4.0651982739916545E-4","251","3.665353728589569E-10"
"26","2.76E8","80000.0","2.76E8","0.0","0.0","0.0","18.0","173.10392555603514","2.2336313207205638E8","0.0","1.6339707559690343E-4","217","0.0"
"27","3.54E8","104000.0","3.54E8","9.116060209655407E-112","3.019281406171907E-56","6.193860744863145E-23","19.0","208.862750981974","1.7446315393521672E8","5.78237839123046E-11","2.2047029062424384E-4","217","0.0"
"28","4.06E8","104000.0","4.06E8","0.0","0.0","0.0","17.0","129.62879124222505","280956.09460031387","0.0","1.5194409835801696E-4","217","0.0"
"29","4.242E9","414000.0","4.242E9","0.0","0.0","0.0","24.0","733.3323117547667","1.2323017676646024E7","0.0","0.011877662913000925","245","1.9324293073268538E-11"
"30","6.93E8","124000.0","6.93E8","1.8331087918295102E-125","4.281482394917171E-63","1.1306382359004267E-25","29.0","434.3792535586114","2.3001699372248015E8","3.3511179845822513E-12","0.0015128994697650789","244","1.3674373858022712E-10"
"31","1.7349999999999986E9","189999.99999999988","1.7349999999999986E9","7.600180998892375E-112","2.7568466659971526E-56","6.000455363444889E-23","24.0","273.39406631714695","85.45345937806728","6.170852582791995E-11","0.0019594004885082044","244","0.0"
"32","6000000.0","10000.0","6000000.0","7.15116578896574E-120","2.6742100261123285E-60","1.5001361448073151E-24","19.0","860.6945266404238","1.5142976267524637E7","1.1808557391343177E-11","1.7687180229191007E-7","151","9.093777466852563E-12"
"33","4000000.0","8000.0","4000000.0","1.4327386836392658E-123","3.785618066796577E-62","2.777056037758826E-25","19.0","846.4394614268853","1.3441854626180174E7","5.90348462845474E-12","1.1730843631510858E-7","151","4.413255113194004E-11"
"34","1.8499999999999995E9","241999.99999999988","1.8499999999999995E9","0.0","0.0","0.0","29.0","463.64852647284033","8.975366049736616E7","0.0","0.00464683388821146","244","0.0"
"35","3.92E8","94000.0","3.92E8","0.0","0.0","0.0","16.0","100.89365219662648","337.04479108628277","0.0","9.93539597473963E-5","247","0.0"
"36","2.0E7","30000.0","2.0E7","0.0","0.0","0.0","19.0","857.4684479069853","5716966.178740962","0.0","4.494241312632767E-7","151","9.391147377885799E-11"
"37","3.3E8","90000.0","3.3E8","0.0","0.0","0.0","17.0","118.14856880865337","400.39754006562583","0.0","7.546032442626608E-5","247","0.0"
"38","6.849999999999993E8","123999.99999999988","6.849999999999993E8","7.912995740317003E-117","8.895515788365788E-59","6.0632919694131284E-24","28.0","317.7666349471961","1213301.2081886919","2.447622220321094E-11","6.88037031961421E-4","244","2.2258485362588724E-10"
"39","7.32E8","122000.0","7.32E8","7.499316976024037E-139","8.668756149792866E-70","2.6836657572611325E-28","29.0","1060.0709752378689","9.874740205070872E-20","3.4443367538294194E-13","3.079436113101888E-4","251","2.3348240125847117E-11"
"40","1.99E9","298000.0","1.99E9","5.038850179160215E-112","2.265730799192419E-56","6.74669627278381E-23","31.0","535.164006509647","848795.9788564971","1.1033337870701109E-10","0.0034179906723448786","244","2.3396028769242245E-11"
"41","1.039E9","180000.0","1.039E9","8.730223033700805E-110","2.9763293282320263E-55","1.9217321193102569E-22","31.0","564.2033882456511","2.37714941428913E8","1.7844540529364787E-10","0.0023507882200698976","244","3.47411266727769E-10"
"42","2.170999999999975E9","273999.99999999895","2.170999999999975E9","3.1809656263069116E-122","2.4996274257680655E-61","8.69068831751797E-25","28.0","383.62333028878754","3463762.892092182","1.2111399926145028E-11","0.004621749054605497","244","2.6155286678916513E-11"
"43","1.1199999999999988E9","169999.99999999988","1.1199999999999988E9","4.6994403565266544E-120","2.4804268727987606E-60","2.034350778528356E-24","31.0","510.04318010348646","1.231165131897035E8","1.9412499422802926E-11","0.0017928299295898336","244","9.115880272756605E-11"
"44","2.71E8","82000.0","2.71E8","6.959120376911642E-116","2.742015018848391E-58","1.422904763893686E-23","26.0","1266.4541333768382","0.005597555857949546","8.185846013748083E-11","4.390726314877696E-5","240","2.7092331653861184E-10"
"45","5.29E8","110000.0","5.29E8","5.7418336456754775E-111","7.820999244712144E-56","1.1225412704825413E-22","23.0","273.94071420456953","0.014601633043501849","1.051890226682058E-10","1.6602815132533717E-4","247","3.2525036907717386E-11"
"46","1.2029999999999914E9","183999.99999999942","1.2029999999999914E9","7.93439267079842E-134","3.694199243655517E-67","4.142110529105094E-27","31.0","584.7561675298398","3.1856521883316004E8","1.1371226178424482E-12","0.003009752341683916","244","2.2826876232205468E-10"
"47","9.5E7","44000.0","9.5E7","1.8145412841699656E-111","4.5086718149449225E-56","1.1288634481379596E-22","28.0","992.3305793644013","2571383.7579791932","1.605862728780014E-10","6.715589531680433E-5","240","5.0793288682746914E-11"
"48","4.509999999999972E8","117999.99999999953","4.509999999999972E8","5.1933221915588054E-120","2.3967161377187812E-60","2.4219714181638095E-24","27.0","857.1904812220351","5.502477174828537E7","3.982418901956232E-11","5.953938005776159E-4","240","8.607809238016073E-11"
"49","9.869999999999866E8","153999.9999999993","9.869999999999866E8","7.105387819118907E-114","2.9364917821818056E-57","3.9187476456808325E-23","20.0","532.4174596953565","7.589513344636699E8","1.1070218807718955E-10","0.0033136224831938005","218","1.2405120574271117E-10"
"50","1.5109999999999986E9","221999.99999999953","1.5109999999999986E9","1.3922231097043869E-111","3.7962163095131452E-56","8.572998258077999E-23","28.0","885.526329713469","5.362903624345872E7","1.1168229042536128E-10","0.002345509653558713","240","1.4417686706089416E-10"
"51","8.129999999999976E8","133999.99999999977","8.129999999999976E8","9.374380921160151E-125","1.175446447866107E-62","2.8793275544204298E-25","18.0","594.7830434941224","1.6340670902097085E9","1.0978507569217855E-11","0.00390662440545624","218","6.506410957720832E-11"
"52","6.689999999999993E8","151999.99999999988","6.689999999999993E8","8.313280549486081E-129","9.117719314327586E-65","2.420784096763616E-26","22.0","356.3241185431902","13.102639227661317","1.5594268494145283E-12","2.728925046178632E-4","247","6.205869133149974E-12"
"53","1.02E8","46000.0","1.02E8","8.101536167679381E-121","9.000853386029227E-61","9.587678791469285E-25","26.0","738.691526140381","6.062635821588694E8","8.465522056220385E-12","2.0210771145638532E-4","240","9.846740447592031E-11"
"54","1.119E9","164000.0","1.119E9","1.0072748066759044E-136","1.3798892122962466E-68","1.4623040662838006E-27","18.0","480.62578218828014","6.859625451289101E8","1.0024158827389806E-12","0.003134363859679923","218","2.652847141041233E-10"
"55","5.219999999999937E8","101999.99999999953","5.219999999999937E8","1.0830032936271896E-109","4.526872740302928E-55","2.753575948785984E-22","19.0","394.22574093867945","451779.46533571184","1.6693591732356228E-10","3.704394379234272E-4","218","6.092803403966333E-11"
"56","5.13E8","112000.0","5.13E8","1.6789909998061987E-125","4.1016881917745237E-63","1.200664145885496E-25","20.0","209.65206943585542","0.03306465638354157","4.66761352860926E-12","1.5659711151102992E-4","247","6.41170244468074E-11"
"57","1.0399999999999964E8","59999.99999999977","1.0399999999999964E8","8.929914401145325E-126","4.026517106456541E-63","2.3796159097917885E-25","19.0","1206.7440824983282","5.754113732521677E9","1.1788157424206145E-11","8.405606175413208E-4","137","1.370987544602038E-10"
"58","8.69E8","130000.0","8.69E8","3.769681628723433E-113","6.139775407825063E-57","3.284009424343848E-23","38.0","705.9760641493496","8470114.872698402","4.6319097223986594E-11","4.6230838361689685E-4","181","6.803334399331583E-11"
"59","8.669999999999975E8","215999.99999999953","8.669999999999975E8","6.400645917024034E-117","8.067815755875055E-59","7.178855179936941E-24","31.0","864.3706111950228","2275592.4687693724","4.2911679384162164E-11","9.161016714614792E-4","240","1.7030396890288125E-11"
"60","3.7E7","40000.0","3.7E7","6.557472487867185E-116","2.7160573351489145E-58","1.270674684547372E-23","37.0","601.4383468182883","1.9893323849661922E8","5.386841029924666E-11","2.8695984107674805E-5","181","8.565246709229258E-11"
"61","2.24E8","70000.0","2.24E8","4.307735959733063E-126","2.1087459581292102E-63","1.0071454487088605E-25","31.0","429.42159957943403","7.42585233682747E7","4.053143147084564E-12","2.2390139406032488E-4","201","3.2274876054974655E-11"
"62","4.74E8","116000.0","4.74E8","5.187931543631746E-113","7.202729721176372E-57","3.4913938892571044E-23","21.0","525.7782888802993","18.501549566225922","4.4397422341499637E-11","1.5894928953434807E-4","247","3.2657854376842886E-12"
"63","1.05E8","46000.0","1.05E8","7.895512713128893E-110","2.8098955063971328E-55","1.5123128462686325E-22","32.0","455.09241615446564","1.949812695907121E8","8.982758108233758E-11","1.4178529601824858E-4","201","1.1115814822267062E-10"
"64","9.11E8","202000.0","9.11E8","6.209508468005596E-113","9.287100131938724E-57","6.055114513373362E-23","34.0","533.8902714724413","7.794154129624636E7","1.1155256776195182E-10","0.001181342356030767","201","2.8003260174889573E-10"
"65","7.243999999999973E9","507999.9999999993","7.243999999999973E9","5.183283557234703E-118","2.6848692976018642E-59","5.456549984896991E-24","25.0","1625.8125591403507","8.26101364278383E7","3.410536123868085E-11","0.03172394895132584","137","1.3227451866451284E-10"
"66","9.7E7","46000.0","9.7E7","1.5436073733389174E-111","4.357959613424834E-56","1.0570900928903726E-22","35.0","429.81621516620316","3.6268158593627495E8","1.2720062741274032E-10","1.0305889534772383E-4","201","8.048868038493943E-11"
"67","1.0699999999999905E9","259999.99999999953","1.0699999999999905E9","0.0","0.0","0.0","29.0","356.3847289515446","1.4687116256158724E8","0.0","0.0016930256031702415","201","0.0"
"68","1.47E8","56000.0","1.47E8","3.6147431137358676E-114","2.6707486188082995E-57","3.6546768801068924E-23","34.0","435.09198763597647","1.603155216435208E8","7.404551806482666E-11","1.922982329765704E-4","201","1.7672650387724287E-10"
"69","4.13E8","114000.0","4.13E8","0.0","0.0","0.0","33.0","416.10983217510324","2.859913461374969E8","0.0","7.523596133154866E-4","201","0.0"
"70","4.08E8","116000.0","4.08E8","1.717590517680376E-119","4.144423908238951E-60","1.7836493729310772E-24","31.0","318.9208300113378","1626845.379799615","1.2562022750136155E-11","3.0456148249829405E-4","201","0.0"
