"ID1","ID2","Dist","DistM","BC_d10000_p0.01_beta0_Cvroliki","BC_d20000_p0.01_beta0_Cvroliki","BC_d50000_p0.01_beta0_Cvroliki","CF_beta0_Cvroliki","BC_d542300_p1.0E-10_beta0_Cvroliki"
"116","123","388346.49476981204","388346.49476981204","2.1414160136668254E-78","1.4633577873052187E-39","2.9250965742206947E-16","63.784287953201044","6.900798202379978E-8"
"116","119","417097.1109945496","417097.1109945496","3.8069555067582405E-84","1.9511421031688697E-42","2.0706922602713385E-17","61.32148579749614","2.0358159909409483E-8"
"116","120","493024.3401699349","493024.3401699349","2.4838877521555425E-99","4.983861707707731E-50","1.9011938494022636E-20","61.64188804241063","8.105735000249651E-10"
"114","132","334439.8301638119","334439.8301638119","1.2942970676425041E-67","3.597634038701691E-34","4.191860229948721E-14","10.948636423408963","6.806705053285511E-7"
"114","134","484219.99132625613","484219.99132625613","1.4321936200258827E-97","3.784433405446425E-49","4.2776017321152133E-20","10.377494408632995","1.1775899299946754E-9"
"114","128","235688.35355188805","235688.35355188805","7.283318290812404E-48","2.6987623627901003E-24","3.7365074966100456E-10","11.65478593645526","4.507253408327331E-5"
"114","125","338753.597766872","338753.597766872","1.775335537679837E-68","1.3324171785442565E-34","2.8174491680838433E-14","9.732803827691223","5.667495207519646E-7"
"114","136","156080.10763707184","156080.10763707184","6.081048575623106E-32","2.465978218805492E-16","5.712098587685586E-7","15.811272226416477","0.0013239947935412475"
"114","122","363732.04423036444","363732.04423036444","1.7930448544727218E-73","4.234436036206854E-37","2.8230477940086168E-15","10.510111986855216","1.9624073104046702E-7"
"114","118","286331.97516169905","286331.97516169905","5.415081129371284E-58","2.3270326876456387E-29","3.5214456796285336E-12","11.917756612366707","5.248622476206786E-6"
"114","117","92962.35797353667","92962.35797353667","2.5558090598313996E-19","5.055501023470769E-10","1.9120783365684352E-4","20.453101564413597","0.01930972887846339"
"114","115","151999.99999999988","151999.99999999988","3.981071705535224E-31","6.309573444802131E-16","8.317637711026824E-7","14.419667971990444","0.001574430025431746"
"114","135","450876.9233393962","450876.9233393962","6.677522070467034E-91","8.171610655475262E-46","9.224123716727245E-19","13.20331050715378","4.868106338811453E-9"
"114","120","344999.99999999977","344999.99999999977","1.0000000000001191E-69","3.162277660168568E-35","1.5848931924611536E-14","15.909571203376972","4.347180111348482E-7"
"114","133","493340.6530988493","493340.6530988493","2.1471845830388774E-99","4.633772311149018E-50","1.846721165475449E-20","26.241209610934376","8.120861766090515E-10"
"114","130","198080.79159777157","198080.79159777157","2.4201466353773137E-40","1.555682048291782E-20","1.1933513701639568E-8","13.645142914325513","2.2253308367897417E-4"
"114","124","133809.56617521768","133809.56617521768","1.7301619828434664E-27","4.159521586484997E-14","4.442396854856343E-6","17.64742026106295","0.0034084314904445447"
"114","121","100578.32768544125","100578.32768544125","7.661864423971625E-21","8.753207654323999E-11","9.481278259712037E-5","44.8017131593327","0.013974551020293095"
"115","132","360212.4373199784","360212.4373199784","9.068021392463792E-73","9.522615918151793E-37","3.903934362593815E-15","10.218500944051472","2.2787182291621728E-7"
"115","134","363111.5531073057","363111.5531073057","2.3861040536531516E-73","4.884776405991529E-37","2.989082319741364E-15","11.219366819185202","2.0148458893743155E-7"
"115","128","278713.114151451","278713.114151451","1.8087442758348888E-56","1.3448956375254137E-28","7.103549873247643E-12","10.290227903664405","7.25331172335426E-6"
"115","125","223886.13177238064","223886.13177238064","1.6702198680795162E-45","4.0868323529104006E-23","1.1080381897993543E-9","10.13347851795367","7.439516036440833E-5"
"115","136","48999.99999999977","48999.99999999977","1.5848931924612843E-10","1.258925411794235E-5","0.010964781961432095","24.286593778525873","0.1248651042997704"
"115","122","207966.343430854","207966.343430854","2.5511225043014703E-42","1.5972233733268088E-21","4.8011609238777226E-9","13.289064328584315","1.462531501078641E-4"
