"ID1","ID2","Dist","DistM","BC_d654500_p1.0E-10_beta0_Clunulatus"
"6","33","588357.8842847255","588357.8842847255","1.0246480654811018E-9"
"6","32","584236.2535824","584236.2535824","1.1852811750149273E-9"
"6","24","431040.6013358826","431040.6013358826","2.5953750920863546E-7"
"6","29","334619.18653896614","334619.18653896614","7.716269486300442E-6"
"6","22","413208.1799771144","413208.1799771144","4.860252405426651E-7"
"6","13","330255.9613390793","330255.9613390793","8.996475492788943E-6"
"6","14","375213.2726863479","375213.2726863479","1.850021978503984E-6"
"6","9","226225.5511652028","226225.5511652028","3.495717023254955E-4"
"6","8","225869.43130932923","225869.43130932923","3.5397889345768074E-4"
"6","17","343233.15690649673","343233.15690649673","5.698964110323636E-6"
"6","11","4000.0","4000.0","0.8687296508039025"
"6","12","18027.756377319947","18027.756377319947","0.5303429697959641"
"8","25","564384.6206267491","564384.6206267491","2.3912001321496477E-9"
"8","39","428780.8297953624","428780.8297953624","2.8101326359147477E-7"
"8","10","4000.0","4000.0","0.8687296508039025"
"8","15","44553.33881989093","44553.33881989093","0.20858194736304267"
"8","44","591638.4030807993","591638.4030807993","9.303198288435141E-10"
"8","36","397416.65792968374","397416.65792968374","8.471005118567023E-7"
"8","33","397045.33746160433","397045.33746160433","8.582390861614128E-7"
"8","32","393954.3120718433","393954.3120718433","9.568317287988831E-7"
"8","24","220617.3157302024","220617.3157302024","4.258175870649264E-4"
"8","29","118072.01192492615","118072.01192492615","0.01570351096232577"
"8","22","185399.56850003696","185399.56850003696","0.001469974759831999"
"8","13","110476.24178980704","110476.24178980704","0.02051404526897162"
"8","14","150283.06624500314","150283.06624500314","0.005056491193881703"
"8","9","1000.0","1000.0","0.9654308250167103"
"8","17","173968.38793298052","173968.38793298052","0.002197682971145227"
"8","11","230410.50323281658","230410.50323281658","3.01713721273631E-4"
"8","12","247842.69204477215","247842.69204477215","1.6339977660571458E-4"
"10","25","561024.9548816875","561024.9548816875","2.6912107024145403E-9"
"10","39","421390.55518604064","421390.55518604064","3.644530871799616E-7"
"10","15","47507.89408087881","47507.89408087881","0.18798991184308264"
"10","44","582818.1534578331","582818.1534578331","1.2688066607197066E-9"
"10","36","389082.2535145998","389082.2535145998","1.1357296550034147E-6"
