"ID1","ID2","Dist","DistM","BC_d10000_p0.5_beta0_Nplicata","BC_d20000_p0.5_beta0_Nplicata","BC_d30000_p0.5_beta0_Nplicata","BC_d40000_p0.5_beta0_Nplicata","BC_d50000_p0.5_beta0_Nplicata","BC_d60000_p0.5_beta0_Nplicata","BC_d70000_p0.5_beta0_Nplicata","BC_d80000_p0.5_beta0_Nplicata","BC_d90000_p0.5_beta0_Nplicata","BC_d100000_p0.5_beta0_Nplicata","BC_d110000_p0.5_beta0_Nplicata","BC_d120000_p0.5_beta0_Nplicata","BC_d130000_p0.5_beta0_Nplicata","BC_d140000_p0.5_beta0_Nplicata","BC_d150000_p0.5_beta0_Nplicata","BC_d160000_p0.5_beta0_Nplicata","BC_d170000_p0.5_beta0_Nplicata","BC_d180000_p0.5_beta0_Nplicata","BC_d190000_p0.5_beta0_Nplicata","BC_d200000_p0.5_beta0_Nplicata"
"97","1","1894.2489360000034","1894248.9168102783","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"98","1","1944.2581808000139","1944258.151526268","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"99","1","1981.5058696000112","1981505.8428472707","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"100","1","2118.9831536000233","2118983.1149947965","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"101","1","2054.8511136000175","2054851.0806388317","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"102","1","2175.149678400026","2175149.6372361667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103","1","2059.6013264000135","2059601.2972767756","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"104","1","1935.001247200006","1935001.2254892758","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"105","1","1975.8965456000083","1975896.536343781","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"106","1","2227.0197368000267","2227019.6949212556","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"107","1","2064.8692072","2064869.1911333113","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"108","1","1993.3889735999974","1993388.9603929557","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"109","1","2033.747263200004","2033747.2580451134","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"110","1","1829.1097496000082","1829109.7397793774","0.8809237320117883","0.9385753736444337","0.9586191562731544","0.9688009979580088","0.9749619393431167","0.9790909846756605","0.9820510046939906","0.9842768908991051","0.986011623127276","0.9874016099557043","0.9885403292411973","0.98949026507372","0.9902947698834941","0.9909848660267172","0.9915833383334097","0.9921072980777357","0.9925698454161676","0.9929811796440434","0.993349360021724","0.9936808390804888"
"111","1","2025.3553399999996","2025355.3390593266","0.8690219159014445","0.9322134497535661","0.9542823902487428","0.9655120142978886","0.9723131196196939","0.976873784195657","0.9801444930125383","0.982604709075775","0.9845224789919435","0.9860593894992806","0.9873186461135564","0.9883692549830032","0.9892591048676084","0.9900224709634313","0.9906845313766668","0.9912641974144809","0.9917759491069323","0.9922310612916446","0.9926384439539605","0.9930052313554448"
"112","1","2066.5193112000347","2066519.2616453676","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"113","1","2169.2539840000004","2169253.9674441614","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"114","1","2033.8650104000021","2033865.0070512048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"115","1","2268.927229600015","2268927.1990845804","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","1","44.0","44000.00000000023","0.9969547984662518","0.9984762383082793","0.9989839007140181","0.9992378287015956","0.9993902164746955","0.99949182123418","0.9995644023867054","0.9996188417099767","0.9996611854556754","0.9996950617436776","0.9997227795604651","0.999745878328178","0.9997654238561744","0.9997821774700254","0.9997966974957913","0.9998094026913213","0.9998206132920456","0.9998305783759943","0.9998394945879266","0.9998475192466487"
