"Coord1","Coord2","Cost","Length"
"419500.43472291855-1171825.9100348407","491500.4347229188-1314825.9100348407","172.82337919999975","172823.376490863"
"888500.4347229195-1578825.9100348405","891500.4347229195-1580825.9100348405","3.8284272","3828.42712474619"
"388500.43472291855-1068825.9100348407","391500.43472291855-1071825.9100348407","4.2426408","4242.640687119285"
"858500.4347229195-2436825.91003484","935500.4347229197-2457825.91003484","85.69848559999997","85698.48480983515"
"-232499.56527708273-2039825.9100348405","-215499.56527708273-2061825.9100348405","29.0416312","29041.63056034261"
"323500.4347229183-937825.9100348409","333500.4347229183-913825.9100348409","28.142136","28142.135623730952"
"486500.4347229188-2308825.91003484","498500.4347229188-2296825.91003484","16.9705632","16970.56274847714"
"589500.434722919-1089825.9100348407","760500.4347229192-1318825.9100348407","305.10260319999986","305102.59710444167"
"-197499.56527708273-2091825.9100348405","-192499.56527708273-2098825.9100348405","9.071068","9071.067811865476"
"950500.4347229197-1325825.9100348407","953500.4347229197-1325825.9100348407","3.0","3000.0"
"410500.43472291855-1069825.9100348407","422500.43472291855-1051825.9100348407","22.9705632","22970.56274847714"
"419500.43472291855-714825.9100348409","478500.4347229188-764825.9100348409","79.71067999999988","79710.67811865492"
"456500.43472291855-1136825.9100348407","459500.43472291855-1135825.9100348407","3.4142136","3414.213562373095"
"850500.4347229195-2446825.91003484","888500.4347229195-2445825.91003484","38.4142136","38414.213562373094"
"-335499.56527708296-1588825.9100348405","-328499.56527708296-1371825.9100348407","219.8994952","219899.49493661145"
"774500.4347229192-606825.9100348409","796500.4347229192-608825.9100348409","22.8284272","22828.427124746187"
"-377499.5652770831-1256825.9100348407","-369499.565277083-1261825.9100348407","10.071068","10071.067811865516"
"466500.4347229188-1288825.9100348407","533500.4347229188-1310825.9100348407","76.11269919999992","76112.69837220809"
"547500.4347229188-891825.9100348409","613500.434722919-772825.9100348409","148.09545679999997","148095.45442950516"
"58500.43472291785-997825.9100348409","63500.43472291785-992825.9100348409","7.071068","7071.067811865475"
"454500.43472291855-1269825.9100348407","495500.4347229188-1185825.9100348407","100.98275759999986","100982.75605729705"
"442500.43472291855-1253825.9100348407","511500.4347229188-1206825.9100348407","88.46803919999986","88468.0374315357"
"147500.43472291797-1008825.9100348409","211500.4347229181-951825.9100348409","87.61017519999987","87610.1730552665"
"5500.4347229177365-1805825.9100348405","58500.43472291785-1800825.9100348405","57.3137088","57313.70849898487"
"176500.4347229181-1193825.9100348407","181500.4347229181-1208825.9100348407","17.071068","17071.067811865476"
"528500.4347229188-1192825.9100348407","547500.4347229188-1191825.9100348407","19.4142136","19414.213562373094"
"-241499.56527708273-914825.9100348409","-201499.56527708273-882825.9100348409","53.254835199999945","53254.83399593904"
"961500.4347229197-2525825.91003484","974500.4347229197-2542825.91003484","22.3847768","22384.776310850237"
"218500.4347229181-917825.9100348409","266500.4347229183-915825.9100348409","48.82842719999999","48828.42712474642"
"407500.43472291855-1244825.9100348407","416500.43472291855-1282825.9100348407","41.72792239999998","41727.92206135785"
"454500.43472291855-1157825.9100348407","459500.43472291855-1135825.9100348407","24.071068","24071.067811865476"
"541500.4347229188-1215825.9100348407","567500.4347229188-1235825.9100348407","34.284272","34284.271247461904"
"528500.4347229188-1192825.9100348407","545500.4347229188-1179825.9100348407","22.3847768","22384.776310850237"
"208500.4347229181-1146825.9100348407","233500.4347229181-1130825.9100348407","31.6274176","31627.41699796952"
"950500.4347229197-1512825.9100348407","1013500.4347229197-1543825.9100348407","75.84062159999989","75840.62043356594"
"891500.4347229195-1530825.9100348407","939500.4347229197-1527825.9100348407","49.24264079999999","49242.64068711952"
"408500.43472291855-1179825.9100348407","482500.4347229188-1309825.9100348407","160.65180639999977","160651.80361560918"
"884500.4347229195-2470825.91003484","899500.4347229195-2444825.91003484","33.3847768","33384.77631085024"
"969500.4347229197-1356825.9100348407","983500.4347229197-1361825.9100348407","16.071068","16071.067811865476"
"-209499.56527708273-2069825.9100348405","-174499.5652770826-2097825.9100348405","46.597980799999974","46597.97974644675"
"482500.4347229188-1309825.9100348407","515500.4347229188-1221825.9100348407","101.66904879999989","101669.04755831213"
"-558499.5652770834-1158825.9100348407","-556499.5652770834-1160825.9100348407","2.8284272","2828.42712474619"
"-76499.56527708238-908825.9100348409","-38499.56527708238-902825.9100348409","40.48528159999998","40485.28137423857"
"439500.43472291855-1079825.9100348407","464500.4347229188-1079825.9100348407","25.0","25000.000000000233"
"-322499.56527708296-2238825.91003484","-286499.56527708285-2232825.91003484","38.48528159999999","38485.281374238686"
"358500.43472291855-1161825.9100348407","359500.43472291855-1159825.9100348407","2.4142136","2414.213562373095"
"826500.4347229195-1862825.9100348405","835500.4347229195-1864825.9100348405","9.8284272","9828.427124746191"
"544500.4347229188-1009825.9100348409","649500.434722919-1146825.9100348407","180.49242799999993","180492.424049175"
"141500.43472291797-1718825.9100348405","181500.4347229181-1697825.9100348405","48.69848559999997","48698.484809835114"
