"ID1","ID2","Dist","DistM"
"46","7","691.0","690999.9999999995"
"15","7","477.925982399997","477925.9735953048"
"16","7","518.6122735999969","518612.2650963201"
"18","7","623.1391863999966","623139.1770309014"
"9","8","67.31370879999997","67313.708498985"
"10","8","432.91883599999886","432918.83092036797"
"27","8","497.07821439999816","497078.2104868016"
"12","8","27.0","27000.0"
"28","8","636.7472631999976","636747.2580451138"
"14","8","529.6173215999972","529617.3157302036"
"30","8","655.220350399998","655220.3461105326"
"33","8","681.1320399999973","681132.0343559639"
"34","8","698.8477679999977","698847.763108502"
"10","9","351.43355439999874","351433.5495461292"
"27","9","464.9411263999996","464941.1254969538"
"12","9","2.8284272","2828.42712474619"
"28","9","604.610175199999","604610.173055266"
"14","9","454.03153519999745","454031.5292925765"
"30","9","623.0832623999994","623083.2611206849"
"33","9","648.9949519999988","648994.9493661162"
"34","9","666.7106799999991","666710.6781186544"
"12","10","339.63456399999905","339634.559672906"
"14","10","624.8275759999995","624827.5605729695"
"21","11","416.1269919999979","416126.98372208106"
"22","11","366.7005839999991","366700.5768508882"
"23","11","358.7300207999993","358730.0141024109"
"24","11","354.10765119999894","354107.6477383245"
"25","11","250.67619520000022","250676.1902332489"
"26","11","408.12699199999855","408126.98372208094"
"29","11","491.45794319999726","491457.9361637685"
"31","11","409.2813223999985","409281.31265463174"
"32","11","654.5706423999987","654570.6345359768"
"35","11","557.9360783999989","557936.0748630706"
"36","11","656.4163119999994","656416.305603426"
"37","11","682.4335544000002","682433.5495461291"
"38","11","597.7249727999981","597724.9634685275"
"40","11","632.1248935999997","632124.8916810275"
"41","11","624.1442343999993","624144.2276647838"
"13","11","179.8284272","179828.4271247465"
"15","11","164.69343759999978","164693.43417595193"
"16","11","79.4680391999999","79468.03743153556"
"17","11","364.33304959999845","364333.0444827415"
"18","11","96.0","96000.0"
"19","11","126.8284272","126828.42712474642"
"20","11","190.39697119999985","190396.9696196696"
"39","12","692.7645055999986","692764.5019878168"
"27","12","425.35533999999956","425355.3390593269"
"28","12","565.024388799999","565024.3866176391"
"14","12","414.1320399999979","414132.0343559649"
"30","12","583.4974759999993","583497.474683058"
"33","12","609.4091655999987","609409.1629284894"
"34","12","627.124893599999","627124.8916810275"
"21","13","254.60512720000025","254605.12242138275"
"22","13","529.5533999999982","529553.3905932739"
"23","13","522.3401959999978","522340.18715767737"
"24","13","398.98485599999833","398984.84809834976"
"25","13","475.433554399998","475433.54954613"
"26","13","453.49957439999844","453499.5667241113"
"29","13","410.0","409999.99999999953"
"31","13","319.1543303999993","319154.3289325503"
"35","13","555.7645055999983","555764.5019878168"
"36","13","721.6681976000026","721668.181006535"
"40","13","677.0020983999971","677002.0920410528"
"41","13","714.7565080000012","714756.4927611036"
"15","13","389.4507967999987","389450.793488833"
"16","13","292.9238839999994","292923.88155425165"
"17","13","165.49242800000002","165492.42404917517"
"18","13","235.33304960000027","235333.04448274116"
"19","13","22.4142136","22414.213562373094"
"20","13","222.33304960000027","222333.04448274075"
"23","14","721.2863703999967","721286.3632885158"
"25","14","631.0782143999982","631078.2104868027"
"27","14","486.8498663999974","486849.8551495556"
"28","14","550.4894783999973","550489.4654563449"
"30","14","589.8448183999978","589844.8045156723"
"32","14","680.9230328000019","680923.0150024743"
"33","14","578.3057111999971","578305.6992722711"
"34","14","620.2174007999974","620217.3875177028"
"36","14","725.3788776000026","725378.8591251902"
"38","14","598.3839255999999","598383.9097590733"
"39","14","655.2052063999973","655205.194208883"
"41","14","697.2245472000011","697224.5301926396"
"42","14","669.1492823999981","669149.278298667"
"43","14","627.4507967999984","627450.793488832"
"46","14","577.8132831999967","577813.275223096"
"15","14","632.1543303999993","632154.3289325521"
"16","14","672.8406215999994","672840.6204335673"
"51","14","670.2762743999972","670276.2620207486"
"21","15","545.220350399998","545220.3461105335"
"22","15","167.1370879999999","167137.08498984756"
"23","15","159.16652479999982","159166.52224137017"
"24","15","276.13204000000025","276132.03435596434"
"25","15","51.11269919999998","51112.69837220817"
"26","15","208.5634960000002","208563.49186104038"
"29","15","528.1686231999978","528168.6142824237"
"31","15","503.8132831999968","503813.27522309666"
"32","15","455.0071463999986","455007.142674936"
"35","15","549.2052063999973","549205.194208883"
"36","15","456.8528159999993","456852.8137423852"
"37","15","482.8700584","482870.0576850883"
"38","15","398.1614767999981","398161.4716074868"
"40","15","608.7249727999966","608724.9634685275"
"41","15","424.5807383999991","424580.73580374307"
"46","15","610.9575175999987","610957.5028878804"
"16","15","12.4142136","12414.213562373177"
"17","15","493.42640799999947","493426.40687119385"
"18","15","109.89949519999998","109899.4949366119"
"19","15","341.3208551999988","341320.8511739217"
"51","15","615.6072255999968","615607.2144624363"
"20","15","234.89444720000037","234894.4443027284"
"21","16","467.16147679999756","467161.47160748753"
"22","16","214.42136000000025","214421.35623730958"
"23","16","206.45079680000012","206450.79348883234"
"24","16","312.7594575999995","312759.4513539337"
"25","16","98.39697119999988","98396.96961967018"
"26","16","255.84776800000057","255847.7631085024"
"29","16","450.1097495999977","450109.73977937776"
"31","16","425.7544095999979","425754.4007200507"
"32","16","502.29141839999846","502291.413922398"
"35","16","516.5878847999991","516587.87847867986"
"36","16","504.13708799999915","504137.0849898472"
"37","16","530.1543303999999","530154.3289325503"
"38","16","445.4457487999978","445445.7428549488"
"40","16","590.7766999999998","590776.6952966368"
"41","16","471.865010399999","471865.0070512051"
"46","16","658.2417896000001","658241.7741353426"
"17","16","415.36753439999904","415367.5323681479"
"18","16","32.6274176","32627.41699796952"
"19","16","244.79394239999976","244793.93923934034"
"51","16","662.8914975999973","662891.4857098983"
"20","16","156.8355735999999","156835.56979968245"
"21","17","66.62741759999994","66627.41699796906"
"22","17","540.8843511999982","540884.3430349622"
"23","17","533.6711471999976","533671.1395993658"
"24","17","410.3158071999979","410315.80054003815"
"25","17","566.3969712","566396.9696196711"
"26","17","464.830525599998","464830.5191657997"
"29","17","326.1909135999989","326190.90885900974"
"31","17","185.1959615999998","185195.95949289296"
"35","17","471.9554191999971","471955.41084682697"
"37","17","708.2245472000011","708224.5301926394"
"40","17","593.1930119999968","593193.0009000632"
"41","17","726.087459199998","726087.445202792"
"18","17","306.24264079999995","306242.6406871199"
"19","17","206.67619520000022","206676.1902332488"
"20","17","268.6396119999997","268639.6103067894"
"21","18","345.85281599999894","345852.81374238594"
"22","18","300.13708799999984","300137.0849898476"
"23","18","292.1665247999999","292166.5222413704"
"24","18","197.20815600000043","197208.15280171324"
"25","18","184.11269920000012","184112.6983722084"
"26","18","251.72287440000036","251722.8714274748"
"60","18","626.3086607999992","626308.6578651015"
"29","18","334.55844799999915","334558.44122715725"
"31","18","304.44574879999954","304445.7428549491"
"32","18","552.0214391999975","552021.4280248096"
"35","18","401.03658319999903","401036.57992645935"
"36","18","519.8914975999979","519891.4857098984"
"37","18","541.8082351999974","541808.2245892131"
"38","18","531.1614767999979","531161.471607487"
"40","18","475.2253983999998","475225.3967444162"
"41","18","512.9798079999973","512979.7974644669"
"19","18","190.91883600000025","190918.83092036803"
"20","18","35.52691279999999","35526.9119345809"
"21","19","279.45794320000033","279457.9361637687"
"22","19","518.3990695999976","518399.0616607232"
"23","19","511.1858655999978","511185.85822512675"
"24","19","387.8305255999982","387830.519165799"
"25","19","427.3036127999984","427303.6072312187"
"26","19","442.34524399999833","442345.2377915606"
"29","19","426.1837671999995","426183.7661840731"
"31","19","344.00714639999876","344007.1426749361"
"35","19","544.610175199999","544610.173055266"
"36","19","710.513867200002","710513.8520739843"
"40","19","665.8477679999977","665847.7631085021"
"41","19","703.6021776000006","703602.1638285529"
"20","19","211.17871919999985","211178.7155501899"
"21","20","276.2842719999997","276284.2712474624"
"22","20","276.8355736","276835.5697996829"
"23","20","269.6223695999999","269622.3663640865"
"24","20","146.26702959999992","146267.0273047589"
"25","20","307.8650103999994","307865.00705120555"
"26","20","200.78174799999985","200781.7459305204"
"60","20","575.367534399999","575367.5323681473"
"29","20","270.77669999999983","270776.6952966371"
"31","20","234.87720480000007","234877.20036002554"
"32","20","501.0803127999973","501080.3025278555"
