ID,Area,Perim,Capacity,Ajaponicus_BC,Ajaponicus_rank,Cauriga_BC,Cauriga_rank,Clunulatus_BC,Clunulatus_rank,Cstriatus_BC,Cstriatus_rank,Cvroliki_BC,Cvroliki_rank,Daruanus_BC,Daruanus_rank,Lkasmira_BC,Lkasmira_rank,Nplicata_BC,Nplicata_rank,Pcoelestis_BC,Pcoelestis_rank
95,3.99E+08,96000,3.99E+08,10.2217513,63,30.36662804,39,8.383384872,92,14.73766008,43,18.19289299,66,31.76822436,52.5,13.13636344,48.5,0,58,14.56592447,77
96,3.34E+08,104000,3.34E+08,1.849758123,102,0.362635337,112,0,113,0.244817682,108,0,113,0,111.5,1.24973241,102,0,58,0.1,112
97,1.39E+09,168000,1.39E+09,10.2217513,63,12.94619856,56,16.35708037,74,11.78103961,57,9.096110963,76.5,31.76822436,52.5,11.01815308,64,0,58,7.66955264,91
98,7.15E+09,578000,7.15E+09,19.24209551,41,19.11355036,49.5,103.4417789,17,15.61951835,41,357.2786078,6,493.4819731,6,21.57260205,35,0,58,48.18136229,33.5
99,2.02E+09,220000,2.02E+09,8.723630119,72,12.78353772,57,23.32072386,61,11.10229982,62,40.41902243,50,59.20049405,47,10.79233725,67,0,58,8.212021069,89
100,2.78E+09,294000,2.78E+09,7.746920762,75,9.939904431,67,24.5906605,57,5.730160859,78,43.29163208,48,201.4349743,17,7.758001669,75,0,58,27.84395863,54
101,3.86E+09,358000,3.86E+09,4.879577962,83,12.55641282,58,86.81597117,24,4.948670039,81,86.51020959,37,163.7091112,23,4.464680934,87,0,58,48.18136229,33.5
102,1.39E+09,180000,1.39E+09,4.868310403,84,7.873319513,73,10.10317482,87,4.180373137,85,21.41726399,63,76.41676985,44.5,4.766275965,84,0,58,13.73279845,79
103,4.29E+08,92000,4.29E+08,7.535681585,76,9.072407739,71,23.32072386,61,8.579061693,71,29.86374986,57,27.04030615,61,8.697480389,74,0,58,32.99564269,46
104,7.20E+09,518000,7.20E+09,9.700606073,67,22.50535976,46,17.87212033,70,11.17692216,61,28.72617228,59.5,88.29674014,39.5,9.904195908,70,0,58,16.14808,75
105,2.92E+08,84000,2.92E+08,0.813719966,106,1.991195813,96,2.035170385,103,0.912067379,104,1.312308837,100,0,111.5,0.745189339,106,0,58,1.393418161,106
106,3.54E+09,298000,3.54E+09,3.770333593,92,6.342146989,75,8.665001215,90,2.319392651,94,17.86060945,68,76.41676985,44.5,1.829899854,97,0,58,9.976879911,85
107,8.00E+07,40000,8.00E+07,5.392105816,82,3.012288912,92,16.19363915,75.5,4.07645703,86,24.11905722,61,27.9361017,59,3.781715306,89,0,58,12.78468821,81.5
108,1.05E+09,272000,1.05E+09,3.440832955,93,4.621215619,83,16.19363915,75.5,4.335428929,84,61.0639798,45,110.6173916,33,3.997600856,88,0,58,9.162185711,86
109,3.34E+08,96000,3.34E+08,0.661142343,107.5,1.41815736,106,0.294024971,107,1.111408423,99.5,0.20077346,107,0.343631607,106.5,0.946714689,103.5,0,58,1.804309632,105
110,5.77E+09,722000,5.77E+09,5.406778804,81,10.63269643,65,26.68303064,55,6.339018934,76,79.44391622,40,132.8627771,29,6.196509856,80,0,58,16.55740158,74
111,3.44E+08,96000,3.44E+08,2.05729913,100,1.728078987,102,2.481461565,102,1.549088297,98,5.184761732,88,1.320596548,101,1.440694887,100,0,58,2.107741231,104
112,3.18E+08,82000,3.18E+08,10.53671157,61,4.065096997,90,0.25,108,10.41628302,65,0,113,0,111.5,9.910725102,69,0,58,3.645432378,96
113,7.91E+08,218000,7.91E+08,4.733824792,85,1.479568519,103,11.67118125,85,2.757899005,91,6.05013288,84,5.239794513,95,4.725409134,85,0,58,12.78468821,81.5
114,2.17E+08,74000,2.17E+08,0.661142343,107.5,1.187546412,107,1.340156508,106,1.111408423,99.5,3.104643383,97,0.343631607,106.5,0.946714689,103.5,0,58,1.379360496,107
115,5.99E+09,544000,5.99E+09,2.246081335,98,6.024754072,76,7.924939193,95,2.904183377,90,3.469418818,95,4.943338496,96,2.947746192,93,0,58,7.437859105,92
